Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,4,"D(5) H(8) R(9) R(11)",0.9819,0.9979,0.3777,2.3576,no
mol_2,1,4,"D(5) H(8) R(9) R(11)",0.9924,0.8033,0.3547,2.1503,no
mol_3,1,4,"D(5) H(9) R(10) R(12)",0.9525,0.6845,0.3255,1.9625,no
mol_4,1,4,"D(7) H(11) R(12) R(14)",0.9854,0.9983,0.6711,2.6548,no
mol_5,1,4,"D(6) H(9) R(10) R(12)",0.9859,0.9999,0.9497,2.9354,no
mol_6,1,4,"D(6) H(9) R(10) R(13)",0.9913,0.7775,0.3520,2.1208,no
mol_7,1,4,"D(6) H(9) R(10) R(11)",0.9933,0.9998,0.8018,2.7949,no
mol_8,1,4,"D(6) H(9) R(10) R(13)",0.9931,0.7898,0.3568,2.1397,no
mol_9,1,4,"D(6) H(8) R(10) R(12)",1.0000,1.0000,1.0000,3.0000,yes
mol_10,1,4,"D(6) H(8) R(10) R(12)",0.9775,0.9990,0.8081,2.7846,no
mol_11,1,4,"D(5) H(8) R(10) R(12)",0.9855,0.7725,0.3499,2.1078,no
mol_12,1,4,"D(5) H(8) R(10) R(12)",0.9828,0.9995,0.6627,2.6450,no
mol_13,1,4,"D(6) H(8) R(10) R(13)",0.9421,0.9601,0.3795,2.2817,no
mol_14,1,4,"D(6) H(8) R(10) R(13)",0.9709,0.9960,0.3952,2.3621,no
mol_15,1,4,"D(7) H(10) R(12) R(14)",0.9821,0.9982,0.5307,2.5110,no
mol_16,1,4,"D(7) H(10) R(12) R(14)",0.9848,0.7916,0.3360,2.1125,no
mol_17,1,4,"D(5) H(7) R(9) R(11)",0.9793,0.7705,0.3403,2.0901,no
mol_18,1,4,"D(5) H(7) R(9) R(11)",0.9764,0.9990,0.3720,2.3473,no
mol_19,1,4,"D(9) H(15) R(16) R(19)",0.9874,0.9981,0.3746,2.3600,no
mol_20,1,4,"D(9) H(14) R(15) R(18)",0.9869,0.9980,0.3566,2.3415,no
mol_21,1,4,"D(5) H(8) R(9) R(11)",0.9918,0.7949,0.3417,2.1285,no
mol_22,1,4,"D(6) H(10) R(11) R(14)",0.9863,0.9991,0.6001,2.5854,no
mol_23,1,4,"D(6) H(9) R(10) R(13)",0.9895,0.7827,0.3458,2.1180,no
mol_24,1,4,"D(6) H(10) R(11) R(14)",0.9922,0.9992,0.7847,2.7761,no
mol_25,1,4,"D(6) H(10) R(11) R(14)",0.9842,0.9992,0.6171,2.6005,no
mol_26,1,4,"D(6) H(9) R(10) R(13)",0.9915,0.7761,0.3494,2.1169,no
mol_27,1,4,"D(6) H(8) R(10) R(13)",0.9831,0.8018,0.3424,2.1272,no
mol_28,1,4,"D(6) H(8) R(10) R(13)",0.9822,0.8023,0.3424,2.1269,no
mol_29,1,4,"D(7) H(10) R(12) R(14)",0.9678,0.9964,0.3596,2.3238,no
mol_30,1,4,"D(5) H(7) R(9) R(11)",0.9900,0.7802,0.3358,2.1059,no
mol_31,1,4,"D(6) H(8) R(10) R(13)",0.9493,0.6579,0.3367,1.9439,no
mol_32,1,4,"D(5) H(8) R(9) R(12)",0.9846,0.7789,0.3469,2.1104,no
mol_33,1,4,"D(5) H(8) R(9) R(12)",0.9911,0.9989,0.7427,2.7328,no
mol_34,1,4,"D(6) H(9) R(10) R(13)",0.9920,0.9999,0.8046,2.7965,no
mol_35,1,4,"D(6) H(10) R(11) R(14)",0.9831,0.9986,0.7634,2.7451,no
mol_36,1,4,"D(5) H(9) R(10) R(13)",0.9864,0.7816,0.3563,2.1243,no
mol_37,1,4,"D(8) H(12) R(16) R(17)",0.7855,0.7289,0.2791,1.7935,no
mol_38,1,4,"D(5) H(8) R(10) R(13)",0.9843,0.9983,0.3981,2.3808,no
mol_39,1,4,"D(8) H(13) R(17) R(18)",0.5588,0.8868,0.3048,1.7505,no
mol_40,1,4,"D(5) H(7) R(9) R(12)",0.9897,0.7823,0.3435,2.1155,no
