Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,3,"D(5) H(8) R(11)",0.9894,0.9977,0.3777,2.3648,no
mol_2,1,3,"D(5) H(8) R(11)",0.9943,0.7058,0.3546,2.0548,no
mol_3,1,3,"D(5) H(9) R(12)",0.9814,0.5325,0.3252,1.8391,no
mol_4,1,3,"D(7) H(11) R(14)",0.9925,0.9978,0.6715,2.6619,no
mol_5,1,3,"D(6) H(9) R(12)",0.9951,0.9999,0.9495,2.9445,no
mol_6,1,3,"D(6) H(9) R(13)",0.9916,0.6666,0.3519,2.0102,no
mol_7,1,3,"D(6) H(9) R(11)",0.9962,0.9999,0.8020,2.7980,no
mol_8,1,3,"D(6) H(9) R(13)",0.9933,0.6851,0.3568,2.0352,no
mol_9,1,3,"D(6) H(8) R(12)",1.0000,1.0000,1.0000,3.0000,yes
mol_10,1,3,"D(6) H(8) R(12)",0.9963,0.9986,0.8083,2.8032,no
mol_11,1,3,"D(5) H(8) R(12)",0.9903,0.6591,0.3498,1.9991,no
mol_12,1,3,"D(5) H(8) R(12)",0.9899,0.9998,0.6621,2.6518,no
mol_13,1,3,"D(6) H(8) R(13)",0.9832,0.9417,0.3792,2.3041,no
mol_14,1,3,"D(6) H(8) R(13)",0.9922,0.9958,0.3949,2.3829,no
mol_15,1,3,"D(7) H(10) R(14)",0.9855,0.9974,0.5309,2.5138,no
mol_16,1,3,"D(7) H(10) R(14)",0.9976,0.6872,0.3357,2.0205,no
mol_17,1,3,"D(5) H(7) R(11)",0.9848,0.6563,0.3402,1.9813,no
mol_18,1,3,"D(5) H(7) R(11)",0.9900,0.9986,0.3712,2.3598,no
mol_19,1,3,"D(9) H(15) R(19)",0.9920,0.9983,0.3746,2.3649,no
mol_20,1,3,"D(9) H(14) R(18)",0.9961,0.9972,0.3563,2.3496,no
mol_21,1,3,"D(5) H(8) R(11)",0.9943,0.6928,0.3418,2.0289,no
mol_22,1,3,"D(6) H(10) R(14)",0.9891,0.9987,0.6001,2.5879,no
mol_23,1,3,"D(6) H(9) R(13)",0.9926,0.6757,0.3458,2.0141,no
mol_24,1,3,"D(6) H(10) R(14)",0.9942,0.9990,0.7849,2.7781,no
mol_25,1,3,"D(6) H(10) R(14)",0.9875,0.9988,0.6172,2.6035,no
mol_26,1,3,"D(6) H(9) R(13)",0.9950,0.6646,0.3493,2.0089,no
mol_27,1,3,"D(6) H(8) R(13)",0.9916,0.7024,0.3420,2.0361,no
