Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,3,"H(8) R(9) R(11)",0.9967,0.9857,0.3676,2.3499,no
mol_2,1,3,"H(8) R(9) R(11)",0.9959,0.7204,0.3582,2.0744,no
mol_3,1,3,"H(9) R(10) R(12)",0.9773,0.5559,0.3071,1.8402,no
mol_4,1,3,"H(11) R(12) R(14)",0.9968,0.9889,0.5662,2.5520,no
mol_5,1,3,"H(9) R(10) R(12)",0.9929,0.9942,0.7821,2.7693,no
mol_6,1,3,"H(9) R(10) R(13)",0.9971,0.6538,0.3513,2.0022,no
mol_7,1,3,"H(9) R(10) R(11)",0.9942,0.9999,0.8138,2.8079,no
mol_8,1,3,"H(9) R(10) R(13)",0.9961,0.6878,0.3570,2.0409,no
mol_9,1,3,"H(8) R(10) R(12)",1.0000,1.0000,1.0000,3.0000,yes
mol_10,1,3,"H(8) R(10) R(12)",0.9973,0.9796,0.5743,2.5512,no
mol_11,1,3,"H(8) R(10) R(12)",0.9939,0.6194,0.3426,1.9558,no
mol_12,1,3,"H(8) R(10) R(12)",0.9943,0.9910,0.5767,2.5620,no
mol_13,1,3,"H(8) R(10) R(13)",0.9760,0.8103,0.3242,2.1105,no
mol_14,1,3,"H(8) R(10) R(13)",0.9938,0.9611,0.3646,2.3195,no
mol_15,1,3,"H(10) R(12) R(14)",0.9921,0.9899,0.4966,2.4786,no
mol_16,1,3,"H(10) R(12) R(14)",0.9988,0.7314,0.3327,2.0629,no
mol_17,1,3,"H(7) R(9) R(11)",0.9901,0.6035,0.3325,1.9261,no
mol_18,1,3,"H(7) R(9) R(11)",0.9939,0.9815,0.3570,2.3325,no
mol_19,1,3,"H(15) R(16) R(19)",0.9958,0.9909,0.3681,2.3548,no
mol_20,1,3,"H(14) R(15) R(18)",0.9952,0.9903,0.3483,2.3337,no
mol_21,1,3,"H(8) R(9) R(11)",0.9947,0.7095,0.3444,2.0486,no
mol_22,1,3,"H(10) R(11) R(14)",0.9963,0.9938,0.5585,2.5487,no
mol_23,1,3,"H(9) R(10) R(13)",0.9972,0.6460,0.3400,1.9831,no
mol_24,1,3,"H(10) R(11) R(14)",0.9926,0.9993,0.8033,2.7952,no
mol_25,1,3,"H(10) R(11) R(14)",0.9959,0.9932,0.5602,2.5492,no
mol_26,1,3,"H(9) R(10) R(13)",0.9959,0.6427,0.3463,1.9849,no
mol_27,1,3,"H(8) R(10) R(13)",0.9953,0.7455,0.3394,2.0803,no
mol_28,1,3,"H(8) R(10) R(13)",0.9934,0.7443,0.3402,2.0779,no
mol_29,1,3,"H(10) R(12) R(14)",0.9912,0.9597,0.3390,2.2899,no
mol_30,1,3,"H(7) R(9) R(11)",0.9940,0.6774,0.3364,2.0078,no
mol_31,1,3,"H(8) R(10) R(13)",0.9710,0.6185,0.3106,1.9000,no
mol_32,1,3,"H(8) R(9) R(12)",0.9949,0.6347,0.3412,1.9707,no
mol_33,1,3,"H(8) R(9) R(12)",0.9913,0.9989,0.7483,2.7385,no
mol_34,1,3,"H(9) R(10) R(13)",0.9927,0.9991,0.7820,2.7739,no
mol_35,1,3,"H(10) R(11) R(14)",0.9965,0.9894,0.6292,2.6152,no
mol_36,1,3,"H(9) R(10) R(13)",0.9950,0.6509,0.3527,1.9986,no
mol_37,1,3,"H(12) R(16) R(17)",0.7725,0.5281,0.2788,1.5795,no
mol_38,1,3,"H(8) R(10) R(13)",0.9958,0.9885,0.3834,2.3678,no
