mol_id,title,num_confs,has_sites
1,56600346,1,1
2,56600344,1,1
3,88558463,1,1
4,84973037,1,1
5,56600748,1,1
6,56600750,1,1
7,84973038,1,1
8,56600953,1,1
9,84973039,1,1
10,84973040,1,1
11,88553160,1,1
12,88553159,1,1
13,84973041,1,1
14,84973042,1,1
15,84973043,1,1
16,84973044,1,1
17,84973045,1,1
18,84973046,1,1
19,84973047,1,1
20,56601341,1,1
21,84973048,1,1
22,56601543,1,1
23,56601941,1,1
24,84973049,1,1
25,84973050,1,1
26,84973051,1,1
27,84973053,1,1
28,84973054,1,1
29,84973055,1,1
30,84973056,1,1
31,84973057,1,1
32,84973058,1,1
33,56599751,1,1
34,56599753,1,1
35,84973059,1,1
36,56599755,1,1
37,68011389,1,1
38,84973060,1,1
39,68011390,1,1
40,84973061,1,1
41,84973062,1,1
42,84973063,1,1
43,88558465,1,1
44,84973064,1,1
45,84973065,1,1
46,84973066,1,1
47,84973067,1,1
48,84973068,1,1
49,56600154,1,1
50,84973069,1,1
51,84973070,1,1
52,84973072,1,1
53,84973073,1,1
54,84973074,1,1
55,84973075,1,1
56,84973076,1,1
57,84973077,1,1
58,84973078,1,1
59,84973079,1,1
60,84973080,1,1
61,84973081,1,1
62,84973082,1,1
63,84973083,1,1
64,84973084,1,1
65,56597186,1,1
66,56597187,1,1
67,56598714,1,1
68,118668487,1,1
69,118668488,1,1
