Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,3,"A(2) D(5) R(8)",0.9991,0.9914,0.4172,2.4077,no
mol_2,1,3,"A(2) D(5) R(11)",0.9989,1.0000,0.5146,2.5135,no
mol_3,1,3,"A(2) D(5) R(11)",0.9988,0.9963,0.4204,2.4156,no
mol_4,1,3,"A(2) D(6) R(11)",0.9999,0.9986,0.4739,2.4724,no
mol_5,1,3,"A(2) D(6) R(10)",0.9992,0.9997,0.4377,2.4366,no
mol_6,1,3,"A(2) D(5) R(9)",0.9989,0.9999,0.4473,2.4461,no
mol_7,1,3,"A(2) D(5) R(11)",1.0000,1.0000,1.0000,3.0000,yes
mol_8,1,3,"A(2) D(5) R(11)",0.9994,1.0000,0.4158,2.4151,no
mol_9,1,3,"A(1) D(6) R(10)",0.9985,0.9938,0.4189,2.4112,no
mol_10,1,3,"A(1) D(7) R(11)",0.9990,0.9997,0.4055,2.4042,no
mol_11,1,3,"A(1) D(5) R(10)",0.9996,0.9994,0.4616,2.4607,no
mol_12,1,3,"A(1) D(5) R(10)",0.9997,0.9999,0.6825,2.6821,no
mol_13,1,3,"A(1) D(4) R(10)",0.9997,0.9964,0.7094,2.7054,no
mol_14,1,3,"A(1) D(4) R(10)",0.9994,0.9981,0.4613,2.4587,no
mol_15,1,3,"A(1) D(5) R(11)",0.9985,0.9966,0.3224,2.3175,no
mol_16,1,3,"A(1) D(5) R(10)",0.9993,0.9996,0.6028,2.6017,no
mol_17,1,3,"A(2) D(7) R(11)",0.9755,0.9960,0.4236,2.3950,no
mol_18,1,3,"A(2) D(6) R(11)",0.9744,0.9995,0.4187,2.3926,no
mol_19,1,3,"A(2) D(7) R(12)",0.9751,0.9998,0.3346,2.3096,no
mol_20,1,3,"A(2) D(6) R(11)",0.9752,0.9987,0.4309,2.4047,no
mol_21,1,3,"A(2) D(8) R(12)",0.9753,0.9992,0.3773,2.3518,no
mol_22,1,3,"A(2) D(5) R(11)",0.9749,0.9981,0.3961,2.3692,no
mol_23,1,3,"A(2) D(5) R(11)",0.9748,0.9995,0.3767,2.3510,no
mol_24,1,3,"A(2) D(6) R(11)",0.9750,0.9997,0.6073,2.5821,no
mol_25,1,3,"A(2) D(6) R(11)",0.9755,0.9987,0.3290,2.3032,no
mol_26,1,3,"A(2) D(6) R(11)",0.9753,0.9987,0.4044,2.3784,no
mol_27,1,3,"A(1) D(5) R(9)",0.9989,0.9983,0.3985,2.3958,no
mol_28,1,3,"A(1) D(4) R(10)",0.9989,0.9978,0.3807,2.3774,no
mol_29,1,3,"A(1) D(4) R(10)",0.9988,0.9995,0.3852,2.3835,no
mol_30,1,3,"A(1) D(7) R(11)",0.9988,0.9999,0.4296,2.4284,no
mol_31,1,3,"A(1) D(4) R(10)",0.9984,1.0000,0.3638,2.3621,no
mol_32,1,3,"A(1) D(4) R(10)",0.9990,0.9984,0.3834,2.3808,no
mol_33,1,3,"A(2) D(7) R(11)",0.9757,0.9977,0.4489,2.4223,no
mol_34,1,3,"A(2) D(6) R(11)",0.9750,0.9992,0.3825,2.3567,no
mol_35,1,3,"A(2) D(6) R(11)",0.9752,0.9995,0.4793,2.4540,no
