Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,7,"A(1) A(3) H(5) H(7) R(10) R(11) R(12)",0.8765,0.9966,0.8611,2.7343,no
mol_2,1,7,"A(2) A(4) H(8) H(9) R(12) R(13) R(14)",0.8834,0.9960,0.8868,2.7663,no
mol_3,1,7,"A(2) A(6) H(11) H(13) R(16) R(17) R(18)",0.8857,0.9970,0.9299,2.8127,no
mol_4,1,7,"A(1) A(3) H(8) H(9) R(12) R(13) R(14)",0.8860,0.9979,0.9202,2.8041,no
mol_5,1,7,"A(2) A(4) H(8) H(9) R(12) R(13) R(14)",0.9644,0.9930,0.9035,2.8608,no
mol_6,1,7,"A(2) A(4) H(7) H(8) R(11) R(12) R(13)",0.9331,0.9987,0.9085,2.8403,no
mol_7,1,7,"A(2) A(4) H(9) H(10) R(13) R(14) R(15)",0.9620,0.9968,0.9435,2.9023,no
mol_8,1,7,"A(2) A(4) H(10) H(11) R(14) R(15) R(16)",0.8736,0.9985,0.8896,2.7616,no
mol_9,1,7,"A(2) A(4) H(9) H(11) R(14) R(15) R(16)",0.8771,0.9698,0.8662,2.7131,no
mol_10,1,7,"A(1) A(3) H(5) H(7) R(10) R(11) R(12)",0.8991,0.9984,0.9251,2.8225,no
mol_11,1,7,"A(1) A(3) H(7) H(8) R(12) R(13) R(14)",0.8243,0.9971,0.7904,2.6118,no
mol_12,1,7,"A(3) A(5) H(10) H(12) R(15) R(16) R(17)",0.8867,0.9956,0.9270,2.8093,no
mol_13,1,7,"A(2) A(4) H(11) H(12) R(14) R(15) R(16)",0.8516,0.9989,0.8621,2.7126,no
mol_14,1,7,"A(2) A(4) H(10) H(11) R(14) R(15) R(16)",0.9466,0.9992,0.9249,2.8707,no
mol_15,1,7,"A(1) A(3) H(6) H(7) R(10) R(11) R(12)",0.8939,0.9850,0.9063,2.7853,no
mol_16,1,7,"A(2) A(4) H(9) H(10) R(13) R(14) R(15)",0.8193,0.9972,0.8460,2.6625,no
mol_17,1,7,"A(3) A(5) H(10) H(11) R(14) R(15) R(16)",0.9219,0.9974,0.8561,2.7754,no
mol_18,1,7,"A(1) A(3) H(5) H(6) R(9) R(10) R(11)",0.8447,0.9898,0.8040,2.6385,no
mol_19,1,7,"A(2) A(5) H(11) H(12) R(16) R(14) R(17)",0.8842,0.9976,0.9252,2.8071,no
mol_20,1,7,"A(1) A(3) H(7) H(8) R(11) R(12) R(13)",0.8256,0.9983,0.8542,2.6780,no
mol_21,1,7,"A(2) A(6) H(12) H(13) R(16) R(17) R(18)",0.9187,0.9998,0.9477,2.8662,no
mol_22,1,7,"A(2) A(5) H(10) H(11) R(15) R(13) R(16)",0.8824,0.9952,0.9107,2.7883,no
mol_23,1,7,"A(3) A(5) H(10) H(12) R(15) R(16) R(17)",0.8801,0.9706,0.8682,2.7189,no
mol_24,1,7,"A(3) A(5) H(11) H(12) R(15) R(16) R(17)",0.9685,0.9902,0.8980,2.8567,no
mol_25,1,7,"A(2) A(3) H(9) H(11) R(13) R(14) R(15)",0.8422,0.9808,0.7693,2.5923,no
mol_26,1,7,"A(2) A(4) H(9) H(10) R(14) R(15) R(16)",0.8792,0.9907,0.8494,2.7193,no
mol_27,1,7,"A(2) A(5) H(10) H(11) R(15) R(13) R(16)",0.8576,0.9877,0.7936,2.6389,no
mol_28,1,7,"A(3) A(5) H(11) H(12) R(15) R(16) R(17)",1.0000,1.0000,1.0000,3.0000,yes
mol_29,1,7,"A(4) A(5) H(11) H(14) R(15) R(17) R(18)",0.9474,0.9866,0.8744,2.8084,no
mol_30,1,7,"A(2) A(4) H(6) H(8) R(11) R(12) R(13)",0.9423,0.9979,0.9059,2.8460,no
