Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,6,"A(1) A(3) H(5) H(7) R(10) R(11)",0.8995,0.9973,0.8565,2.7533,no
mol_2,1,6,"A(2) A(4) H(8) H(9) R(12) R(13)",0.8748,0.9988,0.8869,2.7604,no
mol_3,1,6,"A(2) A(6) H(11) H(13) R(16) R(17)",0.8839,0.9997,0.9263,2.8099,no
mol_4,1,6,"A(1) A(3) H(8) H(9) R(12) R(13)",0.9079,0.9988,0.9127,2.8194,no
mol_5,1,6,"A(2) A(4) H(8) H(9) R(12) R(13)",0.9624,0.9975,0.9022,2.8621,no
mol_6,1,6,"A(2) A(4) H(7) H(8) R(11) R(12)",0.9281,0.9986,0.9071,2.8338,no
mol_7,1,6,"A(2) A(4) H(9) H(10) R(13) R(14)",0.9594,0.9983,0.9423,2.9000,no
mol_8,1,6,"A(2) A(4) H(10) H(11) R(14) R(15)",0.8678,0.9985,0.8848,2.7511,no
mol_9,1,6,"A(2) A(4) H(9) H(11) R(14) R(15)",0.8819,0.9994,0.8651,2.7464,no
mol_10,1,6,"A(1) A(3) H(5) H(7) R(10) R(11)",0.9299,0.9990,0.9174,2.8463,no
mol_11,1,6,"A(1) A(3) H(7) H(8) R(12) R(13)",0.8315,0.9985,0.7872,2.6172,no
mol_12,1,6,"A(3) A(5) H(10) H(12) R(15) R(16)",0.8863,0.9997,0.9231,2.8091,no
mol_13,1,6,"A(2) A(4) H(11) H(12) R(14) R(15)",0.8496,0.9990,0.8570,2.7056,no
mol_14,1,6,"A(2) A(4) H(10) H(11) R(14) R(15)",0.9479,0.9995,0.9242,2.8716,no
mol_15,1,6,"A(1) A(3) H(6) H(7) R(10) R(11)",0.9177,0.9991,0.9032,2.8200,no
mol_16,1,6,"A(2) A(4) H(9) H(10) R(13) R(14)",0.8074,0.9972,0.8439,2.6485,no
mol_17,1,6,"A(3) A(5) H(10) H(11) R(14) R(15)",0.9182,0.9982,0.8552,2.7716,no
mol_18,1,6,"A(1) A(3) H(5) H(6) R(9) R(10)",0.8666,0.9964,0.8010,2.6640,no
mol_19,1,6,"A(2) A(5) H(11) H(12) R(16) R(14)",0.8764,0.9974,0.9200,2.7938,no
mol_20,1,6,"A(1) A(3) H(7) H(8) R(11) R(12)",0.8326,0.9992,0.8489,2.6806,no
mol_21,1,6,"A(2) A(6) H(12) H(13) R(16) R(17)",0.9123,1.0000,0.9469,2.8592,no
mol_22,1,6,"A(2) A(5) H(10) H(11) R(15) R(13)",0.8741,0.9938,0.9064,2.7743,no
mol_23,1,6,"A(3) A(5) H(10) H(12) R(15) R(16)",0.8840,0.9993,0.8679,2.7513,no
mol_24,1,6,"A(3) A(5) H(11) H(12) R(15) R(16)",0.9874,0.9988,0.9013,2.8874,no
mol_25,1,6,"A(2) A(3) H(9) H(11) R(13) R(14)",0.8399,0.9931,0.7706,2.6036,no
mol_26,1,6,"A(2) A(4) H(9) H(10) R(14) R(15)",0.8705,0.9985,0.8497,2.7186,no
mol_27,1,6,"A(2) A(5) H(10) H(11) R(15) R(13)",0.8558,0.9920,0.7926,2.6404,no
mol_28,1,6,"A(3) A(5) H(11) H(12) R(15) R(16)",1.0000,1.0000,1.0000,3.0000,yes
mol_29,1,6,"A(4) A(5) H(11) H(14) R(15) R(17)",0.9454,0.9938,0.8742,2.8134,no
mol_30,1,6,"A(2) A(4) H(6) H(8) R(11) R(12)",0.9377,0.9987,0.9058,2.8422,no
