Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,6,"A(1) A(3) H(7) R(10) R(11) R(12)",0.8736,0.9967,0.8655,2.7357,no
mol_2,1,6,"A(2) A(4) H(9) R(12) R(13) R(14)",0.8812,0.9954,0.8824,2.7590,no
mol_3,1,6,"A(2) A(6) H(13) R(16) R(17) R(18)",0.9777,0.9971,0.9355,2.9103,no
mol_4,1,6,"A(1) A(3) H(9) R(12) R(13) R(14)",0.8777,0.9978,0.9196,2.7951,no
mol_5,1,6,"A(2) A(4) H(9) R(12) R(13) R(14)",0.9618,0.9929,0.9033,2.8580,no
mol_6,1,6,"A(2) A(4) H(8) R(11) R(12) R(13)",0.9289,0.9986,0.9073,2.8347,no
mol_7,1,6,"A(2) A(4) H(10) R(13) R(14) R(15)",0.9594,0.9967,0.9430,2.8991,no
mol_8,1,6,"A(2) A(4) H(11) R(14) R(15) R(16)",0.8820,0.9988,0.8884,2.7692,no
mol_9,1,6,"A(2) A(4) H(11) R(14) R(15) R(16)",0.9500,0.9689,0.8702,2.7891,no
mol_10,1,6,"A(1) A(3) H(7) R(10) R(11) R(12)",0.8911,0.9983,0.9251,2.8145,no
mol_11,1,6,"A(1) A(3) H(8) R(12) R(13) R(14)",0.8239,0.9975,0.7909,2.6122,no
mol_12,1,6,"A(3) A(5) H(12) R(15) R(16) R(17)",0.9771,0.9956,0.9324,2.9051,no
mol_13,1,6,"A(2) A(4) H(12) R(14) R(15) R(16)",0.8650,0.9981,0.8547,2.7178,no
mol_14,1,6,"A(2) A(4) H(11) R(14) R(15) R(16)",0.9544,0.9991,0.9249,2.8783,no
mol_15,1,6,"A(1) A(3) H(7) R(10) R(11) R(12)",0.8857,0.9850,0.9065,2.7772,no
mol_16,1,6,"A(2) A(4) H(10) R(13) R(14) R(15)",0.8289,0.9968,0.8440,2.6697,no
mol_17,1,6,"A(3) A(5) H(11) R(14) R(15) R(16)",0.9252,0.9968,0.8524,2.7744,no
mol_18,1,6,"A(1) A(3) H(6) R(9) R(10) R(11)",0.8597,0.9912,0.8041,2.6550,no
mol_19,1,6,"A(2) A(5) H(12) R(16) R(14) R(17)",0.8753,0.9976,0.9248,2.7977,no
mol_20,1,6,"A(1) A(3) H(8) R(11) R(12) R(13)",0.8163,0.9980,0.8517,2.6659,no
mol_21,1,6,"A(2) A(6) H(13) R(16) R(17) R(18)",0.9149,0.9997,0.9456,2.8602,no
mol_22,1,6,"A(2) A(5) H(11) R(15) R(13) R(16)",0.8736,0.9951,0.9101,2.7788,no
mol_23,1,6,"A(3) A(5) H(12) R(15) R(16) R(17)",0.9623,0.9698,0.8718,2.8040,no
mol_24,1,6,"A(3) A(5) H(12) R(15) R(16) R(17)",0.9708,0.9898,0.8966,2.8572,no
mol_25,1,6,"A(2) A(3) H(11) R(13) R(14) R(15)",0.8569,0.9773,0.7614,2.5956,no
mol_26,1,6,"A(2) A(4) H(10) R(14) R(15) R(16)",0.8786,0.9901,0.8484,2.7171,no
mol_27,1,6,"A(2) A(5) H(11) R(15) R(13) R(16)",0.8675,0.9853,0.7867,2.6395,no
mol_28,1,6,"A(3) A(5) H(12) R(15) R(16) R(17)",1.0000,1.0000,1.0000,3.0000,yes
mol_29,1,6,"A(4) A(5) H(14) R(15) R(17) R(18)",0.9485,0.9872,0.8751,2.8108,no
mol_30,1,6,"A(2) A(4) H(8) R(11) R(12) R(13)",0.9399,0.9977,0.9046,2.8421,no
