Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,6,"A(3) H(5) H(7) R(9) R(10) R(12)",0.9058,0.9973,0.8578,2.7609,no
mol_2,1,6,"A(4) H(8) H(9) R(11) R(12) R(14)",0.9244,0.9938,0.8728,2.7909,no
mol_3,1,6,"A(6) H(11) H(13) R(15) R(16) R(18)",0.8783,0.9968,0.9295,2.8047,no
mol_4,1,6,"A(3) H(8) H(9) R(11) R(12) R(14)",0.9229,0.9976,0.9163,2.8368,no
mol_5,1,6,"A(4) H(8) H(9) R(11) R(12) R(14)",0.9883,0.9928,0.9025,2.8836,no
mol_6,1,6,"A(4) H(7) H(8) R(10) R(11) R(13)",0.9688,0.9991,0.9053,2.8731,no
mol_7,1,6,"A(4) H(9) H(10) R(12) R(13) R(15)",0.9838,0.9970,0.9426,2.9234,no
mol_8,1,6,"A(4) H(10) H(11) R(13) R(14) R(16)",0.9008,0.9975,0.8785,2.7769,no
mol_9,1,6,"A(4) H(9) H(11) R(13) R(14) R(16)",0.8755,0.9652,0.8632,2.7038,no
mol_10,1,6,"A(3) H(5) H(7) R(9) R(10) R(12)",0.9288,0.9984,0.9208,2.8480,no
mol_11,1,6,"A(3) H(7) H(8) R(11) R(12) R(14)",0.8654,0.9957,0.7846,2.6457,no
mol_12,1,6,"A(5) H(10) H(12) R(14) R(15) R(17)",0.8785,0.9949,0.9262,2.7996,no
mol_13,1,6,"A(4) H(11) H(12) R(13) R(14) R(16)",0.8742,0.9961,0.8477,2.7180,no
mol_14,1,6,"A(4) H(10) H(11) R(13) R(14) R(16)",0.9518,0.9995,0.9234,2.8746,no
mol_15,1,6,"A(3) H(6) H(7) R(9) R(10) R(12)",0.9314,0.9793,0.8953,2.8060,no
mol_16,1,6,"A(4) H(9) H(10) R(12) R(13) R(15)",0.8628,0.9922,0.8339,2.6888,no
mol_17,1,6,"A(5) H(10) H(11) R(13) R(14) R(16)",0.9413,0.9970,0.8463,2.7847,no
mol_18,1,6,"A(3) H(5) H(6) R(8) R(9) R(11)",0.8583,0.9885,0.8035,2.6504,no
mol_19,1,6,"A(5) H(11) H(12) R(15) R(16) R(17)",0.9765,0.9988,0.9367,2.9120,no
mol_20,1,6,"A(3) H(7) H(8) R(10) R(11) R(13)",0.8854,0.9962,0.8366,2.7182,no
mol_21,1,6,"A(6) H(12) H(13) R(15) R(16) R(18)",0.9573,0.9990,0.9419,2.8983,no
mol_22,1,6,"A(5) H(10) H(11) R(14) R(15) R(16)",0.9703,0.9996,0.9213,2.8912,no
mol_23,1,6,"A(5) H(10) H(12) R(14) R(15) R(17)",0.8744,0.9655,0.8654,2.7053,no
mol_24,1,6,"A(5) H(11) H(12) R(14) R(15) R(17)",0.9703,0.9897,0.8971,2.8571,no
mol_25,1,6,"A(3) H(9) H(11) R(12) R(13) R(15)",0.8665,0.9778,0.7595,2.6038,no
mol_26,1,6,"A(4) H(9) H(10) R(13) R(14) R(16)",0.9142,0.9864,0.8417,2.7424,no
mol_27,1,6,"A(5) H(10) H(11) R(14) R(15) R(16)",0.8878,0.9902,0.7870,2.6649,no
mol_28,1,6,"A(5) H(11) H(12) R(14) R(15) R(17)",1.0000,1.0000,1.0000,3.0000,yes
mol_29,1,6,"A(5) H(11) H(14) R(16) R(15) R(18)",0.9593,0.9898,0.8751,2.8242,no
mol_30,1,6,"A(4) H(6) H(8) R(10) R(11) R(13)",0.9676,0.9979,0.9037,2.8691,no
