Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,5,"A(3) H(5) H(7) R(10) R(12)",0.8998,0.9969,0.8560,2.7527,no
mol_2,1,5,"A(4) H(8) H(9) R(12) R(14)",0.9185,0.9920,0.8711,2.7816,no
mol_3,1,5,"A(6) H(11) H(13) R(16) R(18)",0.8686,0.9957,0.9273,2.7916,no
mol_4,1,5,"A(3) H(8) H(9) R(12) R(14)",0.9180,0.9971,0.9156,2.8307,no
mol_5,1,5,"A(4) H(8) H(9) R(12) R(14)",0.9872,0.9904,0.9025,2.8802,no
mol_6,1,5,"A(4) H(7) H(8) R(11) R(13)",0.9661,0.9989,0.9048,2.8698,no
mol_7,1,5,"A(4) H(9) H(10) R(13) R(15)",0.9822,0.9961,0.9425,2.9209,no
mol_8,1,5,"A(4) H(10) H(11) R(14) R(16)",0.8915,0.9978,0.8787,2.7680,no
mol_9,1,5,"A(4) H(9) H(11) R(14) R(16)",0.8660,0.9539,0.8613,2.6812,no
mol_10,1,5,"A(3) H(5) H(7) R(10) R(12)",0.9249,0.9980,0.9205,2.8433,no
mol_11,1,5,"A(3) H(7) H(8) R(12) R(14)",0.8561,0.9959,0.7853,2.6372,no
mol_12,1,5,"A(5) H(10) H(12) R(15) R(17)",0.8690,0.9932,0.9239,2.7861,no
mol_13,1,5,"A(4) H(11) H(12) R(14) R(16)",0.8629,0.9960,0.8487,2.7076,no
mol_14,1,5,"A(4) H(10) H(11) R(14) R(16)",0.9472,0.9994,0.9235,2.8701,no
mol_15,1,5,"A(3) H(6) H(7) R(10) R(12)",0.9278,0.9724,0.8943,2.7945,no
mol_16,1,5,"A(4) H(9) H(10) R(13) R(15)",0.8521,0.9934,0.8305,2.6760,no
mol_17,1,5,"A(5) H(10) H(11) R(14) R(16)",0.9358,0.9966,0.8465,2.7788,no
mol_18,1,5,"A(3) H(5) H(6) R(9) R(11)",0.8483,0.9859,0.8040,2.6382,no
mol_19,1,5,"A(5) H(11) H(12) R(16) R(17)",0.9744,0.9984,0.9368,2.9096,no
mol_20,1,5,"A(3) H(7) H(8) R(11) R(13)",0.8793,0.9957,0.8345,2.7095,no
mol_21,1,5,"A(6) H(12) H(13) R(16) R(18)",0.9533,0.9989,0.9417,2.8940,no
mol_22,1,5,"A(5) H(10) H(11) R(15) R(16)",0.9676,0.9995,0.9215,2.8886,no
mol_23,1,5,"A(5) H(10) H(12) R(15) R(17)",0.8648,0.9543,0.8635,2.6826,no
mol_24,1,5,"A(5) H(11) H(12) R(15) R(17)",0.9711,0.9865,0.8971,2.8546,no
mol_25,1,5,"A(3) H(9) H(11) R(13) R(15)",0.8542,0.9718,0.7604,2.5864,no
mol_26,1,5,"A(4) H(9) H(10) R(14) R(16)",0.9095,0.9820,0.8398,2.7313,no
mol_27,1,5,"A(5) H(10) H(11) R(15) R(16)",0.8777,0.9875,0.7878,2.6530,no
mol_28,1,5,"A(5) H(11) H(12) R(15) R(17)",1.0000,1.0000,1.0000,3.0000,yes
mol_29,1,5,"A(5) H(11) H(14) R(15) R(18)",0.9557,0.9865,0.8752,2.8175,no
mol_30,1,5,"A(4) H(6) H(8) R(11) R(13)",0.9646,0.9973,0.9034,2.8653,no
