Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,5,"H(5) H(7) R(9) R(10) R(11)",0.9377,0.9943,0.8551,2.7871,no
mol_2,1,5,"H(8) H(9) R(11) R(12) R(13)",0.9274,0.9990,0.9008,2.8271,no
mol_3,1,5,"H(11) H(13) R(15) R(16) R(17)",0.8762,0.9995,0.9233,2.7990,no
mol_4,1,5,"H(8) H(9) R(11) R(12) R(13)",0.9307,0.9991,0.9210,2.8508,no
mol_5,1,5,"H(8) H(9) R(11) R(12) R(13)",0.9698,0.9971,0.9050,2.8719,no
mol_6,1,5,"H(7) H(8) R(10) R(11) R(12)",0.9520,0.9988,0.9123,2.8630,no
mol_7,1,5,"H(9) H(10) R(12) R(13) R(14)",0.9705,0.9982,0.9469,2.9155,no
mol_8,1,5,"H(10) H(11) R(13) R(14) R(15)",0.9205,0.9952,0.8760,2.7917,no
mol_9,1,5,"H(9) H(11) R(13) R(14) R(15)",0.8765,0.9990,0.8601,2.7356,no
mol_10,1,5,"H(5) H(7) R(9) R(10) R(11)",0.9439,0.9992,0.9230,2.8661,no
mol_11,1,5,"H(7) H(8) R(11) R(12) R(13)",0.8799,0.9951,0.7780,2.6530,no
mol_12,1,5,"H(10) H(12) R(14) R(15) R(16)",0.8786,0.9996,0.9203,2.7985,no
mol_13,1,5,"H(11) H(12) R(13) R(14) R(15)",0.9029,0.9965,0.8548,2.7542,no
mol_14,1,5,"H(10) H(11) R(13) R(14) R(15)",0.9699,0.9994,0.9272,2.8965,no
mol_15,1,5,"H(6) H(7) R(9) R(10) R(11)",0.9378,0.9994,0.9093,2.8465,no
mol_16,1,5,"H(9) H(10) R(12) R(13) R(14)",0.9083,0.9905,0.8482,2.7470,no
mol_17,1,5,"H(10) H(11) R(13) R(14) R(15)",0.9494,0.9982,0.8592,2.8068,no
mol_18,1,5,"H(5) H(6) R(8) R(9) R(10)",0.9058,0.9920,0.7950,2.6929,no
mol_19,1,5,"H(11) H(12) R(15) R(16) R(14)",0.8804,0.9973,0.9227,2.8004,no
mol_20,1,5,"H(7) H(8) R(10) R(11) R(12)",0.8928,0.9991,0.8626,2.7545,no
mol_21,1,5,"H(12) H(13) R(15) R(16) R(17)",0.9416,0.9996,0.9503,2.8916,no
mol_22,1,5,"H(10) H(11) R(14) R(15) R(13)",0.8800,0.9931,0.9084,2.7815,no
mol_23,1,5,"H(10) H(12) R(14) R(15) R(16)",0.8765,0.9990,0.8642,2.7397,no
mol_24,1,5,"H(11) H(12) R(14) R(15) R(16)",0.9940,0.9983,0.9001,2.8924,no
mol_25,1,5,"H(9) H(11) R(12) R(13) R(14)",0.8998,0.9925,0.7828,2.6752,no
mol_26,1,5,"H(9) H(10) R(13) R(14) R(15)",0.9304,0.9957,0.8515,2.7776,no
mol_27,1,5,"H(10) H(11) R(14) R(15) R(13)",0.8925,0.9910,0.7950,2.6785,no
mol_28,1,5,"H(11) H(12) R(14) R(15) R(16)",1.0000,1.0000,1.0000,3.0000,yes
mol_29,1,5,"H(11) H(14) R(16) R(15) R(17)",0.9607,0.9903,0.8711,2.8222,no
mol_30,1,5,"H(6) H(8) R(10) R(11) R(12)",0.9594,0.9988,0.9099,2.8681,no
