Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,4,"H(5) H(7) R(9) R(10)",0.9642,0.9983,0.8564,2.8189,no
mol_2,1,4,"H(8) H(9) R(11) R(12)",0.9658,0.9983,0.8800,2.8441,no
mol_3,1,4,"H(11) H(13) R(15) R(16)",0.8728,0.9999,0.9099,2.7826,no
mol_4,1,4,"H(8) H(9) R(11) R(12)",0.9767,0.9994,0.9195,2.8956,no
mol_5,1,4,"H(8) H(9) R(11) R(12)",0.9982,0.9999,0.9023,2.9004,no
mol_6,1,4,"H(7) H(8) R(10) R(11)",0.9899,0.9996,0.9047,2.8941,no
mol_7,1,4,"H(9) H(10) R(12) R(13)",0.9951,0.9998,0.9435,2.9385,no
mol_8,1,4,"H(10) H(11) R(13) R(14)",0.9670,0.9934,0.8610,2.8215,no
mol_9,1,4,"H(9) H(11) R(13) R(14)",0.8726,0.9999,0.8531,2.7256,no
mol_10,1,4,"H(5) H(7) R(9) R(10)",0.9775,0.9998,0.9239,2.9012,no
mol_11,1,4,"H(7) H(8) R(11) R(12)",0.9297,0.9915,0.7692,2.6904,no
mol_12,1,4,"H(10) H(12) R(14) R(15)",0.8732,1.0000,0.9079,2.7811,no
mol_13,1,4,"H(11) H(12) R(13) R(14)",0.9591,0.9917,0.8293,2.7802,no
mol_14,1,4,"H(10) H(11) R(13) R(14)",0.9872,0.9990,0.9206,2.9069,no
mol_15,1,4,"H(6) H(7) R(9) R(10)",0.9742,0.9998,0.9015,2.8755,no
mol_16,1,4,"H(9) H(10) R(12) R(13)",0.9606,0.9897,0.8343,2.7847,no
mol_17,1,4,"H(10) H(11) R(13) R(14)",0.9826,0.9977,0.8407,2.8209,no
mol_18,1,4,"H(5) H(6) R(8) R(9)",0.9303,0.9910,0.7944,2.7158,no
mol_19,1,4,"H(11) H(12) R(15) R(16)",0.9943,0.9998,0.9378,2.9319,no
mol_20,1,4,"H(7) H(8) R(10) R(11)",0.9433,0.9976,0.8439,2.7848,no
mol_21,1,4,"H(12) H(13) R(15) R(16)",0.9852,0.9989,0.9405,2.9246,no
mol_22,1,4,"H(10) H(11) R(14) R(15)",0.9922,0.9996,0.9210,2.9128,no
mol_23,1,4,"H(10) H(12) R(14) R(15)",0.8725,0.9999,0.8543,2.7267,no
mol_24,1,4,"H(11) H(12) R(14) R(15)",0.9977,0.9999,0.8987,2.8964,no
mol_25,1,4,"H(9) H(11) R(12) R(13)",0.9595,0.9919,0.7572,2.7086,no
mol_26,1,4,"H(9) H(10) R(13) R(14)",0.9492,0.9982,0.8479,2.7953,no
mol_27,1,4,"H(10) H(11) R(14) R(15)",0.9640,0.9943,0.7773,2.7356,no
mol_28,1,4,"H(11) H(12) R(14) R(15)",1.0000,1.0000,1.0000,3.0000,yes
mol_29,1,4,"H(11) H(14) R(16) R(15)",0.9917,0.9988,0.8700,2.8605,no
mol_30,1,4,"H(6) H(8) R(10) R(11)",0.9895,0.9997,0.9036,2.8928,no
