Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,3,"H(5) H(7) R(10)",0.9796,0.9992,0.8580,2.8368,no
mol_2,1,3,"H(8) H(9) R(12)",0.9712,0.9992,0.8918,2.8622,no
mol_3,1,3,"H(11) H(13) R(16)",0.8678,1.0000,0.8912,2.7589,no
mol_4,1,3,"H(8) H(9) R(12)",0.9792,0.9999,0.9236,2.9027,no
mol_5,1,3,"H(8) H(9) R(12)",0.9986,1.0000,0.9027,2.9013,no
mol_6,1,3,"H(7) H(8) R(11)",0.9927,0.9999,0.9075,2.9000,no
mol_7,1,3,"H(9) H(10) R(13)",0.9964,1.0000,0.9452,2.9415,no
mol_8,1,3,"H(10) H(11) R(14)",0.9952,0.9949,0.8698,2.8599,no
mol_9,1,3,"H(9) H(11) R(14)",0.8674,0.9998,0.8405,2.7077,no
mol_10,1,3,"H(5) H(7) R(10)",0.9781,1.0000,0.9257,2.9038,no
mol_11,1,3,"H(7) H(8) R(12)",0.9368,0.9943,0.7756,2.7066,no
mol_12,1,3,"H(10) H(12) R(15)",0.8684,1.0000,0.8904,2.7588,no
mol_13,1,3,"H(11) H(12) R(14)",0.9802,0.9932,0.8430,2.8164,no
mol_14,1,3,"H(10) H(11) R(14)",0.9968,0.9992,0.9260,2.9220,no
mol_15,1,3,"H(6) H(7) R(10)",0.9748,1.0000,0.9038,2.8786,no
mol_16,1,3,"H(9) H(10) R(13)",0.9907,0.9949,0.8444,2.8300,no
mol_17,1,3,"H(10) H(11) R(14)",0.9975,0.9984,0.8505,2.8464,no
mol_18,1,3,"H(5) H(6) R(9)",0.9407,0.9934,0.7954,2.7294,no
mol_19,1,3,"H(11) H(12) R(16)",0.9974,0.9999,0.9393,2.9365,no
mol_20,1,3,"H(7) H(8) R(11)",0.9465,0.9992,0.8558,2.8015,no
mol_21,1,3,"H(12) H(13) R(16)",0.9939,0.9993,0.9461,2.9393,no
mol_22,1,3,"H(10) H(11) R(15)",0.9973,0.9998,0.9233,2.9204,no
mol_23,1,3,"H(10) H(12) R(15)",0.8674,0.9998,0.8414,2.7087,no
mol_24,1,3,"H(11) H(12) R(15)",0.9979,0.9999,0.8995,2.8972,no
mol_25,1,3,"H(9) H(11) R(13)",0.9859,0.9943,0.7740,2.7542,no
mol_26,1,3,"H(9) H(10) R(14)",0.9542,0.9990,0.8520,2.8053,no
mol_27,1,3,"H(10) H(11) R(15)",0.9815,0.9953,0.7902,2.7670,no
mol_28,1,3,"H(11) H(12) R(15)",1.0000,1.0000,1.0000,3.0000,yes
mol_29,1,3,"H(11) H(14) R(15)",0.9979,0.9987,0.8708,2.8674,no
mol_30,1,3,"H(6) H(8) R(11)",0.9927,0.9999,0.9065,2.8992,no
