Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,4,"H(5) R(9) R(10) R(12)",0.9397,0.9992,0.8466,2.7854,no
mol_2,1,4,"H(8) R(11) R(12) R(14)",0.9948,0.9961,0.8832,2.8741,no
mol_3,1,4,"H(11) R(15) R(16) R(18)",0.8602,0.9955,0.9137,2.7693,no
mol_4,1,4,"H(8) R(11) R(12) R(14)",0.9439,0.9986,0.9084,2.8508,no
mol_5,1,4,"H(8) R(11) R(12) R(14)",0.9959,0.9910,0.9023,2.8892,no
mol_6,1,4,"H(7) R(10) R(11) R(13)",0.9981,0.9995,0.9064,2.9040,no
mol_7,1,4,"H(9) R(12) R(13) R(15)",0.9987,0.9968,0.9418,2.9372,no
mol_8,1,4,"H(10) R(13) R(14) R(16)",0.9937,0.9973,0.8820,2.8730,no
mol_9,1,4,"H(9) R(13) R(14) R(16)",0.8600,0.9554,0.8394,2.6547,no
mol_10,1,4,"H(5) R(9) R(10) R(12)",0.9437,0.9988,0.9093,2.8518,no
mol_11,1,4,"H(7) R(11) R(12) R(14)",0.9457,0.9953,0.7641,2.7051,no
mol_12,1,4,"H(10) R(14) R(15) R(17)",0.8598,0.9932,0.9111,2.7640,no
mol_13,1,4,"H(11) R(13) R(14) R(16)",0.9960,0.9997,0.8625,2.8582,no
mol_14,1,4,"H(10) R(13) R(14) R(16)",0.9963,0.9988,0.9097,2.9048,no
mol_15,1,4,"H(6) R(9) R(10) R(12)",0.9479,0.9752,0.8872,2.8103,no
mol_16,1,4,"H(9) R(12) R(13) R(15)",0.9922,0.9997,0.8364,2.8282,no
mol_17,1,4,"H(10) R(13) R(14) R(16)",0.9944,0.9989,0.8557,2.8489,no
mol_18,1,4,"H(5) R(8) R(9) R(11)",0.9485,0.9795,0.7556,2.6836,no
mol_19,1,4,"H(11) R(15) R(16) R(17)",0.9980,0.9990,0.9309,2.9279,no
mol_20,1,4,"H(7) R(10) R(11) R(13)",0.9430,0.9990,0.8379,2.7799,no
mol_21,1,4,"H(12) R(15) R(16) R(18)",0.9965,0.9998,0.9431,2.9395,no
mol_22,1,4,"H(10) R(14) R(15) R(16)",0.9963,0.9999,0.9151,2.9112,no
mol_23,1,4,"H(10) R(14) R(15) R(17)",0.8593,0.9563,0.8401,2.6557,no
mol_24,1,4,"H(11) R(14) R(15) R(17)",0.9919,0.9869,0.8851,2.8639,no
mol_25,1,4,"H(9) R(12) R(13) R(15)",0.9968,0.9846,0.7565,2.7379,no
mol_26,1,4,"H(9) R(13) R(14) R(16)",0.9864,0.9886,0.8442,2.8193,no
mol_27,1,4,"H(10) R(14) R(15) R(16)",0.9984,0.9939,0.7914,2.7836,no
mol_28,1,4,"H(11) R(14) R(15) R(17)",1.0000,1.0000,1.0000,3.0000,yes
mol_29,1,4,"H(11) R(16) R(15) R(18)",0.9945,0.9841,0.8691,2.8476,no
mol_30,1,4,"H(6) R(10) R(11) R(13)",0.9985,0.9983,0.9029,2.8998,no
