Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,3,"H(5) R(10) R(12)",0.9648,0.9994,0.8306,2.7947,no
mol_2,1,3,"H(8) R(12) R(14)",0.9979,0.9944,0.8857,2.8780,no
mol_3,1,3,"H(11) R(16) R(18)",0.8608,0.9929,0.8678,2.7215,no
mol_4,1,3,"H(8) R(12) R(14)",0.9659,0.9981,0.8880,2.8520,no
mol_5,1,3,"H(8) R(12) R(14)",0.9962,0.9863,0.9005,2.8830,no
mol_6,1,3,"H(7) R(11) R(13)",0.9981,0.9993,0.9060,2.9034,no
mol_7,1,3,"H(9) R(13) R(15)",0.9996,0.9951,0.9411,2.9358,no
mol_8,1,3,"H(10) R(14) R(16)",0.9979,0.9958,0.8818,2.8754,no
mol_9,1,3,"H(9) R(14) R(16)",0.8610,0.9324,0.7963,2.5897,no
mol_10,1,3,"H(5) R(10) R(12)",0.9655,0.9986,0.8825,2.8466,no
mol_11,1,3,"H(7) R(12) R(14)",0.9685,0.9930,0.7485,2.7100,no
mol_12,1,3,"H(10) R(15) R(17)",0.8605,0.9894,0.8639,2.7138,no
mol_13,1,3,"H(11) R(14) R(16)",0.9964,0.9998,0.8623,2.8585,no
mol_14,1,3,"H(10) R(14) R(16)",0.9967,0.9983,0.9092,2.9041,no
mol_15,1,3,"H(6) R(10) R(12)",0.9724,0.9636,0.8623,2.7982,no
mol_16,1,3,"H(9) R(13) R(15)",0.9981,0.9998,0.8385,2.8364,no
mol_17,1,3,"H(10) R(14) R(16)",0.9954,0.9984,0.8558,2.8496,no
mol_18,1,3,"H(5) R(9) R(11)",0.9729,0.9691,0.7391,2.6812,no
mol_19,1,3,"H(11) R(16) R(17)",0.9994,0.9984,0.9300,2.9278,no
mol_20,1,3,"H(7) R(11) R(13)",0.9655,0.9990,0.8214,2.7859,no
mol_21,1,3,"H(12) R(16) R(18)",0.9977,0.9998,0.9449,2.9423,no
mol_22,1,3,"H(10) R(15) R(16)",0.9970,0.9998,0.9146,2.9114,no
mol_23,1,3,"H(10) R(15) R(17)",0.8604,0.9339,0.7966,2.5910,no
mol_24,1,3,"H(11) R(15) R(17)",0.9979,0.9800,0.8803,2.8582,no
mol_25,1,3,"H(9) R(13) R(15)",0.9972,0.9774,0.7565,2.7311,no
mol_26,1,3,"H(9) R(14) R(16)",0.9987,0.9844,0.8450,2.8281,no
mol_27,1,3,"H(10) R(15) R(16)",0.9984,0.9920,0.7912,2.7816,no
mol_28,1,3,"H(11) R(15) R(17)",1.0000,1.0000,1.0000,3.0000,yes
mol_29,1,3,"H(11) R(15) R(18)",0.9955,0.9765,0.8681,2.8400,no
mol_30,1,3,"H(6) R(11) R(13)",0.9988,0.9974,0.9025,2.8988,no
