mol_id,title,num_confs,has_sites
1,146254417,1,1
2,137288869,1,1
3,146234885,1,1
4,137297911,1,1
5,146236007,1,1
6,140956861,1,1
7,137297915,1,1
8,137278717,1,1
9,146235420,1,1
10,135148885,1,1
11,135148667,1,1
12,146235452,1,1
13,146235857,1,1
14,146234893,1,1
15,146235304,1,1
16,137278705,1,1
17,146235944,1,1
18,146235053,1,1
19,146235429,1,1
20,137297882,1,1
21,146235843,1,1
22,146235592,1,1
23,137278711,1,1
24,140956840,1,1
25,146254335,1,1
26,137288870,1,1
27,137278713,1,1
28,146235786,1,1
29,146235508,1,1
30,146236012,1,1
