HypoID,Survival,Site,Vector,Volume,Select,Matches,Inactive,Adjusted,BEDROC,RefLig
AAHHRRR_1,7.4274,0.8917,0.9930,0.8810,3.1846,30,0.0000,7.4274,1.0000,mol_28
AHHRRR_1,6.9308,0.9197,0.9920,0.8764,2.6655,30,0.0000,6.9308,1.0000,mol_28
AHHRRR_2,6.8763,0.8864,0.9914,0.8815,2.6398,30,0.0000,6.8763,1.0000,mol_28
AHHRRR_3,6.8684,0.8859,0.9913,0.8811,2.6329,30,0.0000,6.8684,1.0000,mol_28
AHHRRR_4,6.8615,0.8968,0.9977,0.8793,2.6106,30,0.0000,6.8615,1.0000,mol_28
AHHRRR_5,6.8432,0.9022,0.9915,0.8827,2.5896,30,0.0000,6.8432,1.0000,mol_28
AAHHRR_1,6.7147,0.9195,0.9923,0.8754,2.4504,30,0.0000,6.7147,1.0000,mol_28
AAHHRR_2,6.6506,0.8944,0.9979,0.8786,2.4026,30,0.0000,6.6506,1.0000,mol_28
AAHRRR_1,6.6506,0.9220,0.9932,0.8663,2.3919,30,0.0000,6.6506,1.0000,mol_28
AAHHRR_3,6.6421,0.8844,0.9914,0.8806,2.4086,30,0.0000,6.6421,1.0000,mol_28
AAHRRR_2,6.5244,0.9037,0.9927,0.8802,2.2706,30,0.0000,6.5244,1.0000,mol_28
HHRRR_1,6.3735,0.9224,0.9906,0.8808,2.1025,30,0.0000,6.3735,1.0000,mol_28
HHRRR_2,6.3435,0.9223,0.9967,0.8805,2.0669,30,0.0000,6.3435,1.0000,mol_28
HHRRR_3,6.3344,0.9157,0.9890,0.8805,2.0722,30,0.0000,6.3344,1.0000,mol_28
HHRRR_4,6.3267,0.9040,0.9888,0.8820,2.0748,30,0.0000,6.3267,1.0000,mol_28
AHHRR_1,6.2796,0.9503,0.9973,0.8680,1.9868,30,0.0000,6.2796,1.0000,mol_28
AHHRR_2,6.2565,0.9136,0.9899,0.8758,2.0000,30,0.0000,6.2565,1.0000,mol_28
AHHRR_3,6.2548,0.9137,0.9899,0.8760,1.9981,30,0.0000,6.2548,1.0000,mol_28
AHRRR_1,6.2204,0.9440,0.9934,0.8682,1.9377,30,0.0000,6.2204,1.0000,mol_28
AHHRR_4,6.2087,0.9181,0.9905,0.8789,1.9441,30,0.0000,6.2087,1.0000,mol_28
AHHRR_5,6.2068,0.8893,0.9973,0.8793,1.9638,30,0.0000,6.2068,1.0000,mol_28
HHRR_1,5.8382,0.9592,0.9975,0.8726,1.5319,30,0.0000,5.8382,1.0000,mol_28
HRRR_1,5.8029,0.9644,0.9917,0.8701,1.4996,30,0.0000,5.8029,1.0000,mol_28
HHRR_2,5.7962,0.9413,0.9956,0.8779,1.5042,30,0.0000,5.7962,1.0000,mol_28
HHRR_3,5.7895,0.9166,0.9864,0.8807,1.5287,30,0.0000,5.7895,1.0000,mol_28
HHRR_4,5.7891,0.9262,0.9873,0.8774,1.5211,30,0.0000,5.7891,1.0000,mol_28
HRRR_2,5.7753,0.9397,0.9891,0.8690,1.5002,30,0.0000,5.7753,1.0000,mol_28
HRRR_3,5.7683,0.9354,0.9891,0.8700,1.4967,30,0.0000,5.7683,1.0000,mol_28
HHRR_5,5.7569,0.9162,0.9956,0.8793,1.4885,30,0.0000,5.7569,1.0000,mol_28
HRRR_4,5.7519,0.9610,0.9870,0.8700,1.4567,30,0.0000,5.7519,1.0000,mol_28
HRRR_5,5.7514,0.9561,0.9969,0.8627,1.4586,30,0.0000,5.7514,1.0000,mol_28
HRR_1,5.4107,0.9915,0.9972,0.8741,1.0709,30,0.0000,5.4107,1.0000,mol_28
HRR_2,5.3994,0.9626,0.9876,0.8690,1.1031,30,0.0000,5.3994,1.0000,mol_28
HRR_3,5.3969,0.9715,0.9877,0.8590,1.1016,30,0.0000,5.3969,1.0000,mol_28
HHR_1,5.3960,0.9664,0.9983,0.8753,1.0789,30,0.0000,5.3960,1.0000,mol_28
HRR_4,5.3958,0.9746,0.9996,0.8684,1.0761,30,0.0000,5.3958,1.0000,mol_28
HRR_5,5.3800,0.9757,0.9825,0.8704,1.0742,30,0.0000,5.3800,1.0000,mol_28
HRR_6,5.3792,0.9741,0.9950,0.8733,1.0598,30,0.0000,5.3792,1.0000,mol_28
HHR_2,5.3746,0.9665,0.9967,0.8660,1.0683,30,0.0000,5.3746,1.0000,mol_28
HRR_7,5.3560,0.9557,0.9945,0.8494,1.0794,30,0.0000,5.3560,1.0000,mol_28
HRR_8,5.3484,0.9406,0.9839,0.8628,1.0839,30,0.0000,5.3484,1.0000,mol_28
