"accession","pref_name","standar_type","chembl_id_ligand","standard_inchi","standard_inchi_key","canonical_smiles (Canonical)","Activity_type"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL3613609","InChI=1S/C26H30N6O3/c1-5-13-35-24(33)19-7-6-8-20(14-19)30-25(34)26(16-31(3)4)9-11-32(12-10-26)23-21-18(2)15-27-22(21)28-17-29-23/h1,6-8,14-15,17H,9-13,16H2,2-4H3,(H,30,34)(H,27,28,29)","HFBCKXXEXNDPEJ-UHFFFAOYSA-N","C#CCOC(=O)c1cccc(NC(=O)C2(CN(C)C)CCN(c3ncnc4[nH]cc(C)c34)CC2)c1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL3939661","InChI=1S/C20H17F2N3O2/c1-3-17(19-15(21)5-4-6-16(19)22)25-20(26)12-7-8-14(18(9-12)27-2)13-10-23-24-11-13/h3-11,17H,1H2,2H3,(H,23,24)(H,25,26)","HUXNQLSQBYWWAS-UHFFFAOYSA-N","C=CC(NC(=O)c1ccc(-c2cn[nH]c2)c(OC)c1)c1c(F)cccc1F","Active"
"O75116","Rho-associated protein kinase 2","Ki","CHEMBL1996339","InChI=1S/C15H13ClN4/c1-2-5-17-14-8-10(7-13(16)20-14)12-9-19-15-11(12)4-3-6-18-15/h2-4,6-9H,1,5H2,(H,17,20)(H,18,19)","VIZWJTHWUUQVGO-UHFFFAOYSA-N","C=CCNc1cc(-c2c[nH]c3ncccc23)cc(Cl)n1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL4109115","InChI=1S/C21H22N4O2/c1-14-10-17(8-9-19(14)18-11-23-24-12-18)21(27)25-20(13-22-15(2)26)16-6-4-3-5-7-16/h3-12,20H,13H2,1-2H3,(H,22,26)(H,23,24)(H,25,27)/t20-/m1/s1","IGTNWPHKEMOAGM-HXUWFJFHSA-N","CC(=O)NC[C@@H](NC(=O)c1ccc(-c2cn[nH]c2)c(C)c1)c1ccccc1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL3666753","InChI=1S/C23H17N5O2/c1-14(29)30-21-9-5-3-7-18(21)23-26-20-8-4-2-6-17(20)22(27-23)25-16-10-11-19-15(12-16)13-24-28-19/h2-13H,1H3,(H,24,28)(H,25,26,27)","GFHABWQARIQNGB-UHFFFAOYSA-N","CC(=O)Oc1ccccc1-c1nc(Nc2ccc3[nH]ncc3c2)c2ccccc2n1","Active"
"O75116","Rho-associated protein kinase 2","Ki","CHEMBL3793243","InChI=1S/C24H27N3O3/c1-24(2,3)23(29)30-15-16-4-6-17(7-5-16)21(13-25)22(28)27-20-9-8-19-14-26-11-10-18(19)12-20/h4-12,14,21H,13,15,25H2,1-3H3,(H,27,28)","VPUKGDGSVMAWIM-UHFFFAOYSA-N","CC(C)(C)C(=O)OCc1ccc(C(CN)C(=O)Nc2ccc3cnccc3c2)cc1","Active"
"O75116","Rho-associated protein kinase 2","Ki","CHEMBL2005548","InChI=1S/C23H20Cl2N4O4/c1-23(2,3)33-22(32)29-17-7-6-15(8-13(17)11-27-29)28-19-18(20(30)21(19)31)26-10-12-4-5-14(24)9-16(12)25/h4-9,11,26,28H,10H2,1-3H3","SKLNUYVBOFIJAT-UHFFFAOYSA-N","CC(C)(C)OC(=O)n1ncc2cc(Nc3c(NCc4ccc(Cl)cc4Cl)c(=O)c3=O)ccc21","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL4451007","InChI=1S/C25H23N3O6/c1-25(2,3)22-13-19(28-34-22)24(31)27-16-6-4-5-15(11-16)26-23(30)14-33-17-7-8-18-20(29)9-10-32-21(18)12-17/h4-13H,14H2,1-3H3,(H,26,30)(H,27,31)","FJCVQMSTNYMHPK-UHFFFAOYSA-N","CC(C)(C)c1cc(C(=O)Nc2cccc(NC(=O)COc3ccc4c(=O)ccoc4c3)c2)no1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL1084554","InChI=1S/C24H26ClN3O2/c1-24(2,3)16-6-4-5-14(9-16)18-12-26-13-19(18)23(30)28-21-10-15-7-8-27-22(29)17(15)11-20(21)25/h4-11,18-19,26H,12-13H2,1-3H3,(H,27,29)(H,28,30)","HNAXCRUIEUANFZ-UHFFFAOYSA-N","CC(C)(C)c1cccc(C2CNCC2C(=O)Nc2cc3cc[nH]c(=O)c3cc2Cl)c1","Active"
"O75116","Rho-associated protein kinase 2","Ki","CHEMBL1968930","InChI=1S/C16H19ClN6/c1-16(2,8-18)9-21-15-22-12(6-13(17)23-15)11-7-20-14-10(11)4-3-5-19-14/h3-7H,8-9,18H2,1-2H3,(H,19,20)(H,21,22,23)","HOYRWTWZUFFACV-UHFFFAOYSA-N","CC(C)(CN)CNc1nc(Cl)cc(-c2c[nH]c3ncccc23)n1","Active"
"O75116","Rho-associated protein kinase 2","Ki","CHEMBL1967662","InChI=1S/C19H23ClN4O/c1-19(2,12-25)6-4-8-21-17-10-13(9-16(20)24-17)15-11-23-18-14(15)5-3-7-22-18/h3,5,7,9-11,25H,4,6,8,12H2,1-2H3,(H,21,24)(H,22,23)","NIUJTENHSPPCKO-UHFFFAOYSA-N","CC(C)(CO)CCCNc1cc(-c2c[nH]c3ncccc23)cc(Cl)n1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL3338838","InChI=1S/C18H19N7/c1-18(2,19)10-21-17-13-5-6-20-9-15(13)23-16(24-17)11-3-4-14-12(7-11)8-22-25-14/h3-9H,10,19H2,1-2H3,(H,22,25)(H,21,23,24)","PTOPXBFSXASLNA-UHFFFAOYSA-N","CC(C)(N)CNc1nc(-c2ccc3[nH]ncc3c2)nc2cnccc12","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL2147538","InChI=1S/C17H19N5/c1-17(2,18)11-21-16-14-5-8-20-10-13(14)9-15(22-16)12-3-6-19-7-4-12/h3-10H,11,18H2,1-2H3,(H,21,22)","WNDOFCPEDZYDPL-UHFFFAOYSA-N","CC(C)(N)CNc1nc(-c2ccncc2)cc2cnccc12","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL3338837","InChI=1S/C16H18N6/c1-16(2,17)10-20-15-12-5-8-19-9-13(12)21-14(22-15)11-3-6-18-7-4-11/h3-9H,10,17H2,1-2H3,(H,20,21,22)","KSKYRXFKNPXFGI-UHFFFAOYSA-N","CC(C)(N)CNc1nc(-c2ccncc2)nc2cnccc12","Active"
"O75116","Rho-associated protein kinase 2","Ki","CHEMBL2005387","InChI=1S/C16H17ClN4O/c1-16(2,22)9-20-14-7-10(6-13(17)21-14)12-8-19-15-11(12)4-3-5-18-15/h3-8,22H,9H2,1-2H3,(H,18,19)(H,20,21)","RKDYDLMULRETNX-UHFFFAOYSA-N","CC(C)(O)CNc1cc(-c2c[nH]c3ncccc23)cc(Cl)n1","Active"
"O75116","Rho-associated protein kinase 2","Ki","CHEMBL3794444","InChI=1S/C23H25N3O3/c1-15(2)23(28)29-14-16-3-5-17(6-4-16)21(12-24)22(27)26-20-8-7-19-13-25-10-9-18(19)11-20/h3-11,13,15,21H,12,14,24H2,1-2H3,(H,26,27)","ZOVNGBKDKNONTD-UHFFFAOYSA-N","CC(C)C(=O)OCc1ccc(C(CN)C(=O)Nc2ccc3cnccc3c2)cc1","Active"
"O75116","Rho-associated protein kinase 2","Ki","CHEMBL2006456","InChI=1S/C21H27ClN6/c1-13(2)11-24-14-5-7-15(8-6-14)26-21-27-18(10-19(22)28-21)17-12-25-20-16(17)4-3-9-23-20/h3-4,9-10,12-15,24H,5-8,11H2,1-2H3,(H,23,25)(H,26,27,28)","KTWBYGUSEYSRND-UHFFFAOYSA-N","CC(C)CNC1CCC(Nc2nc(Cl)cc(-c3c[nH]c4ncccc34)n2)CC1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL1222413","InChI=1S/C15H18ClN3O2/c1-8(2)5-12(17)15(21)19-13-6-9-3-4-18-14(20)10(9)7-11(13)16/h3-4,6-8,12H,5,17H2,1-2H3,(H,18,20)(H,19,21)/t12-/m1/s1","RADQDLRYXIUSGX-GFCCVEGCSA-N","CC(C)C[C@@H](N)C(=O)Nc1cc2cc[nH]c(=O)c2cc1Cl","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL3402475","InChI=1S/C20H22N4O/c1-15(2)24(14-16-6-4-3-5-7-16)20(25)23-19-10-8-17(9-11-19)18-12-21-22-13-18/h3-13,15H,14H2,1-2H3,(H,21,22)(H,23,25)","LFGPPSFNJYTRRE-UHFFFAOYSA-N","CC(C)N(Cc1ccccc1)C(=O)Nc1ccc(-c2cn[nH]c2)cc1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL1222418","InChI=1S/C20H26ClN3O2/c1-12(2)23-18(13-6-4-3-5-7-13)20(26)24-17-10-14-8-9-22-19(25)15(14)11-16(17)21/h8-13,18,23H,3-7H2,1-2H3,(H,22,25)(H,24,26)/t18-/m0/s1","ZDTCHBCAYSXSNH-SFHVURJKSA-N","CC(C)N[C@H](C(=O)Nc1cc2cc[nH]c(=O)c2cc1Cl)C1CCCCC1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL3426630","InChI=1S/C30H27FN4O4/c1-18(2)39-30(38)22-7-4-8-24(14-22)34-28(36)20-6-3-5-19(13-20)25-15-21(9-10-23(25)16-32)29(37)35-27-11-12-33-17-26(27)31/h3-15,17-18H,16,32H2,1-2H3,(H,34,36)(H,33,35,37)","KPLFUEGIOGZWKT-UHFFFAOYSA-N","CC(C)OC(=O)c1cccc(NC(=O)c2cccc(-c3cc(C(=O)Nc4ccncc4F)ccc3CN)c2)c1","Active"
