chembl_id_ligand,canonical_smiles (Canonical),QED
CHEMBL5086734,C[C@@H](O)[C@@H]1NC(=O)[C@@H]2CSSC[C@@H](C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc3ccc(O)c(I)c3)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CSSC[C@H](NC(=O)CN)C(=O)N2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC1=O,0.016166246028704794
CHEMBL267841,[Br-],0.2907254081066362
CHEMBL267841,c1ccc(-c2ccc[n+](CCCCCc3cc(CCCCC[n+]4cccc(-c5ccccc5)c4)cc(CCCCC[n+]4cccc(-c5ccccc5)c4)c3)c2)cc1,0.051200111365901295
CHEMBL5090753,C[C@H](O)[C@H]1NC(=O)[C@@H]2NC(=O)[C@@H](NC(=O)CN)CSSC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]3CCCN3C(=O)[C@H](CC(O)O)NC1=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(O)c(I)c1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(=O)N[C@H](CC(=O)N[C@@H](CCCNC(=N)N)C(=O)O)Cc1ccc(O)cc1)CSCS2,0.00862445155300032
CHEMBL5089881,C[C@@H](O)[C@@H]1NC(=O)[C@@H]2CSSC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]3CCCN3C(=O)[C@H](CC(=O)O)NC1=O)C(=O)N[C@@H](CCCNC(N)=O)C(=O)N[C@@H](Cc1ccc(O)c(I)c1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)CSSC[C@H](NC(=O)CN)C(=O)N2,0.01617065183607781
CHEMBL4647678,C[C@@H](O)[C@H](NC(=O)[C@H](CS)NC(=O)[C@H](CS)NC(=O)CN)C(=O)N[C@@H](CC(=O)O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CS)C(=O)N[C@@H](CCCNC(N)=O)C(=O)N[C@@H](Cc1ccc(O)c(I)c1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CS)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,0.009624289270347714
CHEMBL451442,C(#Cc1cc(C#CCCC[n+]2cccc(-c3ccccc3)c2)c(C#CCCC[n+]2cccc(-c3ccccc3)c2)cc1C#CCCC[n+]1cccc(-c2ccccc2)c1)CCC[n+]1cccc(-c2ccccc2)c1,0.05210204990872302
CHEMBL4526368,CC(C)C[C@@H]1NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CO)NC(=O)[C@@H]2CSSC[C@H](NC(=O)CNC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCn3cc(CCCC(=O)NCCCCC(NC(=O)CCCc4cn(CCOCCOCCOCCOCCOCCOCCOCCOCCOCCC(=O)NCC(=O)N[C@H]5CSSC[C@@H]6NC(=O)[C@H](C)NC(=O)[C@@H]7CCCN7C(=O)[C@H](Cc7cnc[nH]7)NC(=O)[C@H](CO)NC(=O)[C@H](CSSC[C@@H](C(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]7CCCN7C(=O)[C@H](Cc7cnc[nH]7)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CO)NC6=O)NC5=O)nn4)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(N)=O)nn3)C(=O)N[C@@H](CSSC[C@@H](C(N)=O)NC1=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N2,0.007295650106447133
CHEMBL5073182,C[C@H](O)[C@H]1NC(=O)[C@@H]2NC(=O)[C@@H](NC(=O)CN)CSSC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]3CCCN3C(=O)[C@H](CC(O)O)NC1=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(O)c(I)c1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(=O)NCCC(=O)N[C@@H](CCCNC(=N)N)C(=O)O)CSCS2,0.00924998569797065
CHEMBL4644407,C[C@@H](O)[C@@H]1NC(=O)[C@@H]2CSSC[C@@H]3NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc4ccc(O)c(I)c4)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CSSC[C@H](NC(=O)CNC(=O)[C@@H](N)CCC(=O)NCCCC[C@H](C(=O)O)NC(=O)[C@H](Cc4ccc(O)cc4)NC3=O)C(=O)N2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC1=O,0.02042142145504476
