Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID
CHEMBL14598;;0;386.43;0;2.35;1k;COc1ccc(C(=O)/C(=N/O)SCCCN(C)C)cc1.O=C(O)C(=O)O;IC50;;;;;;Not Determined;;;;;;False;CHEMBL644103;"Compound was evaluated for Reversible inhibition of Human AchE; Not determined";B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1123431;1;Scientific Literature;J. Med. Chem.;1986;None
CHEMBL1084092;;0;353.55;1;5.61;259;NCCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2;IC50;'=';147.0;nM;6.83;;;UO_0000065;19.33;0.36;1.22;13.41;False;CHEMBL1119333;Inhibition of AChE;B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1155460;1;Scientific Literature;Eur. J. Med. Chem.;2010;None
CHEMBL1084368;;0;409.66;1;6.99;265;CN(C)CCCCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2;IC50;'=';264.0;nM;6.58;;;UO_0000065;16.06;0.30;-0.41;23.36;False;CHEMBL1119333;Inhibition of AChE;B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1155460;1;Scientific Literature;Eur. J. Med. Chem.;2010;None
CHEMBL58122;;0;277.28;0;3.30;34;Nc1c2c(nc3cc([N+](=O)[O-])ccc13)-c1ccccc1C2;IC50;'=';67608.3;nM;4.17;;;UO_0000065;15.04;0.27;0.87;5.08;False;CHEMBL638445;Experimental pIC50 values for the inhibition of acetylcholinesterase;B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1133184;1;Scientific Literature;J. Med. Chem.;2000;None
CHEMBL103873;;0;269.84;0;2.75;5;CCCCCSC(=O)OCC[N+](C)(C)C.[Cl-];IC50;'=';800.0;nM;6.10;;;UO_0000065;26.01;0.56;3.35;23.18;False;CHEMBL644835;Inhibition of Acetylcholinesterase from human red blood cells;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1130148;1;Scientific Literature;J. Med. Chem.;1997;None
CHEMBL63173;;0;402.54;0;2.26;7c;CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCN4CCOCC4)ccc3N(C)[C@@H]12;IC50;'=';21000.0;nM;4.68;;;UO_0000065;11.62;0.22;2.42;8.17;False;CHEMBL645001;Inhibition of Acetylcholinesterase (AChE) from human RBC;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1128816;1;Scientific Literature;Bioorg. Med. Chem. Lett.;1995;None
CHEMBL433041;EPTASTIGMINE;0;359.51;0;4.11;Heptylphysostigmine (MF201);CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C;IC50;'=';290.0;nM;6.54;;;UO_0000065;18.18;0.34;2.43;14.59;False;CHEMBL645001;Inhibition of Acetylcholinesterase (AChE) from human RBC;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1128816;1;Scientific Literature;Bioorg. Med. Chem. Lett.;1995;None
CHEMBL543779;;0;341.86;0;2.60;1w;CCN(CC)CCS/C(=N\O)C(=O)c1ccc(C#N)cc1.Cl;IC50;'=';180000.0;nM;;Outside typical range;;UO_0000065;;;;;False;CHEMBL644102;Reversible inhibition of Human AchE;B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1123431;1;Scientific Literature;J. Med. Chem.;1986;None
CHEMBL122983;;0;394.47;0;4.01;17b;C[C@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)C(C)(C)C)cc1;IC50;'>';100000.0;nM;;;;UO_0000065;;;;;False;CHEMBL643376;Concentration required to inhibit the mammalian Acetylcholinesterase by 50% was determined;B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1130748;1;Scientific Literature;Bioorg. Med. Chem. Lett.;1998;None
CHEMBL47815;;0;337.27;0;2.75;1n;C[N+](C)(C)CCS/C(=N\O)C(=O)c1ccc(Cl)cc1.[Cl-];IC50;;;;;;Not Determined;;;;;;False;CHEMBL638606;"Compound was evaluated for Reversible inhibition of Human AchE; Not determined";B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1123431;1;Scientific Literature;J. Med. Chem.;1986;None
CHEMBL65667;;0;388.51;0;1.87;7b;CN1CC[C@@]2(C)c3cc(OC(=O)NCCCN4CCOCC4)ccc3N(C)[C@@H]12;IC50;'=';3800.0;nM;5.42;;;UO_0000065;13.95;0.26;3.55;9.46;False;CHEMBL645001;Inhibition of Acetylcholinesterase (AChE) from human RBC;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1128816;1;Scientific Literature;Bioorg. Med. Chem. Lett.;1995;None
CHEMBL3216557;;0;759.52;2;10.44;(+)-8b;CC1=C[C@H]2Cc3nc4cc(Cl)ccc4c(NCCCCCCCNc4c5c(nc6cc(Cl)ccc46)CCCC5)c3[C@@H](C1)C2.Cl.Cl.Cl.Cl;IC50;'=';11.5;nM;7.94;;;UO_0000065;12.94;0.25;-2.50;15.93;False;CHEMBL2015198;Inhibition of human recombinant AChE using acetylthiocholine iodide as substrate preincubated for 20 mins prior substrate addition measured after 5 mins by spectrophotometry;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL2010698;1;Scientific Literature;J. Med. Chem.;2012;None
CHEMBL219262;;0;407.47;0;3.90;15a;COc1cc(C(=O)NNc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC;IC50;'=';386.0;nM;6.41;;;UO_0000065;15.74;0.29;2.51;7.85;False;CHEMBL912241;Inhibition of human AChE;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1138205;1;Scientific Literature;J. Med. Chem.;2006;None
CHEMBL134240;;0;234.69;0;2.80;1f;Nc1c2c(nc3ccc(Cl)cc13)OCCC2;IC50;'=';9810.0;nM;5.01;;;UO_0000065;21.34;0.43;2.21;10.40;False;CHEMBL644109;In vitro inhibition of acetylcholinesterase isolated from human erythrocytes.;B;BAO_0000019;assay format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1126001;1;Scientific Literature;Bioorg. Med. Chem. Lett.;1991;None
CHEMBL192682;;0;429.66;1;5.36;1;O=C(CCCCC1CCSS1)NCCNc1c2c(nc3ccccc13)CCCC2;IC50;'=';97.0;nM;7.01;;;UO_0000065;16.32;0.33;1.65;12.98;False;CHEMBL832842;Inhibitory concentration against human recombinant acetylcholinesterase;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1141170;1;Scientific Literature;J. Med. Chem.;2005;None
CHEMBL278963;;0;485.76;1;6.92;5;O=C(CCCCC1CCSS1)NCCCCCCNc1c2c(nc3ccccc13)CCCC2;IC50;'=';30.1;nM;7.52;;;UO_0000065;15.48;0.31;0.60;13.92;False;CHEMBL832842;Inhibitory concentration against human recombinant acetylcholinesterase;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1141170;1;Scientific Literature;J. Med. Chem.;2005;None
CHEMBL12856;INAMRINONE;4;187.20;0;1.02;AMRINONE;Nc1cc(-c2ccncc2)c[nH]c1=O;IC50;;;;;;Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured);;;;;;False;CHEMBL1909212;DRUGMATRIX: Acetylcholinesterase enzyme inhibition (substrate: acetylthiocholine);B;BAO_0000219;cell-based format;None;None;None;HEK293;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1909046;15;DrugMatrix;;;CHEMBL3307715
CHEMBL87959;;0;548.54;1;5.82;31;COc1cc2cc(C(=O)CCC3CC[N+](C)(CCOc4ccccc4)CC3)sc2cc1OC.[Br-];IC50;'=';390.0;nM;6.41;;;UO_0000065;13.68;0.27;0.59;14.32;False;CHEMBL644831;Concentration required for the inhibition of acetylcholinesterase;B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1135325;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2002;None
CHEMBL1922540;;0;284.09;0;2.97;3a;C#CCOP(C)(=O)OC(C(F)(F)F)C(F)(F)F;IC50;'=';65000.0;nM;4.19;;;UO_0000065;14.74;0.34;1.22;11.78;False;CHEMBL1925662;Inhibition of human erythrocyte AChE incubated for 12 mins before addition of acetylthiocholine iodide substrate by spectrophotometric analysis;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1921786;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2011;None
CHEMBL314658;;0;502.47;1;5.47;18;COc1cc2cc(C(=O)CC3=CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-];IC50;'=';750.0;nM;6.12;;;UO_0000065;14.49;0.28;0.65;17.24;False;CHEMBL644831;Concentration required for the inhibition of acetylcholinesterase;B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1135325;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2002;None
CHEMBL197696;;0;411.46;0;4.12;22;CN(C)C(=O)Oc1ccc2c(c1)C=CCN(C)[C@@H]2CCOc1ccc([N+](=O)[O-])cc1;IC50;'=';14.0;nM;7.85;;;UO_0000065;19.09;0.36;3.73;9.22;False;CHEMBL885189;Inhibitory concentration against acetylcholinesterase;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1140446;1;Scientific Literature;J. Med. Chem.;2005;None
CHEMBL91;MICONAZOLE;4;416.14;1;6.45;MICONAZOLE;Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1;IC50;'=';18659.0;nM;4.73;;;UO_0000065;11.36;0.26;-1.72;17.48;False;CHEMBL1909212;DRUGMATRIX: Acetylcholinesterase enzyme inhibition (substrate: acetylthiocholine);B;BAO_0000219;cell-based format;None;None;None;HEK293;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1909046;15;DrugMatrix;;;CHEMBL3307715
CHEMBL59730;;0;266.73;0;4.04;36;Nc1c2c(nc3cc(Cl)ccc13)-c1ccccc1C2;IC50;'=';6606.93;nM;5.18;;;UO_0000065;19.42;0.37;1.14;13.31;False;CHEMBL638445;Experimental pIC50 values for the inhibition of acetylcholinesterase;B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1133184;1;Scientific Literature;J. Med. Chem.;2000;None
CHEMBL25629;;0;455.51;0;2.19;11a;C[C@]12CC[C@H](O)[C@@](C)(CO)C1C[C@H](O)[C@@]1(C)Oc3cc(-c4cccnc4)oc(=O)c3C(=O)C21;IC50;'=';35000.0;nM;4.46;;;UO_0000065;9.78;0.18;2.27;3.43;False;CHEMBL642296;Inhibitory activity against Acetylcholinesterase;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1133041;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2000;None
CHEMBL61929;;0;258.32;0;2.71;11;COc1cc2nc3c(c(N)c2cc1OC)CCCC3;IC50;'=';5128.61;nM;5.29;;;UO_0000065;20.48;0.38;2.58;9.22;True;CHEMBL638445;Experimental pIC50 values for the inhibition of acetylcholinesterase;B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1133184;1;Scientific Literature;J. Med. Chem.;2000;None
CHEMBL155322;;0;368.49;0;1.91;23;CC1CCCCN1Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1;IC50;'=';540.0;nM;6.27;;;UO_0000065;17.01;0.32;4.36;6.87;False;CHEMBL636834;Inhibition of guinea pig acetylcholinesterase;B;BAO_0000357;single protein format;Cavia porcellus;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1126972;1;Scientific Literature;J. Med. Chem.;1993;None
CHEMBL372202;;0;567.56;2;7.63;10b;COc1ccc2[nH]cc(CCNC(=O)CCCCCCNc3c4c(nc5cc(Cl)cc(Cl)c35)CCCC4)c2c1;IC50;'=';0.04;nM;10.40;;;UO_0000065;18.32;0.36;2.77;13.16;False;CHEMBL864026;Inhibition of human AChE;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1147732;1;Scientific Literature;J. Med. Chem.;2006;None
CHEMBL153821;;0;382.51;0;2.30;24;CC1CCCC(C)N1Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1;IC50;'=';4500.0;nM;5.35;;;UO_0000065;13.98;0.26;3.05;5.86;False;CHEMBL636834;Inhibition of guinea pig acetylcholinesterase;B;BAO_0000357;single protein format;Cavia porcellus;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1126972;1;Scientific Literature;J. Med. Chem.;1993;None
CHEMBL32964;;0;302.42;0;3.09;1k;CCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(CC)C1C2;IC50;'=';154.0;nM;6.81;;;UO_0000065;22.53;0.42;3.72;16.39;False;CHEMBL875789;In vitro inhibitory activity against human AchE (Acetylcholinesterase);B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1125437;1;Scientific Literature;J. Med. Chem.;1992;None
CHEMBL315013;;0;534.52;0;4.91;9;COc1cc2cc(C(=O)CC(O)C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-];IC50;'=';190.0;nM;6.72;;;UO_0000065;14.78;0.29;1.81;12.05;False;CHEMBL644831;Concentration required for the inhibition of acetylcholinesterase;B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1135325;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2002;None
