Title,PhaseScreenScore
ePharma_1SA1_POD,
My_112P1,1
My_299,1
My_399,1
My_369,1
My_84B,1
Albe_5,1
My_190,1
My_190,1
My_237,1
My_337,1
My_164,0.999
Alex_11-11B,0.999
My_327,0.999
My_133,0.999
My_38A1,0.999
My_197,0.999
My_213,0.998
My_384,0.998
Laug_89,0.998
NMAR_4,0.998
My_399,0.998
My_303,0.998
My_268,0.998
My_346,0.998
My_40A1,0.998
My_305,0.998
Dani_10,0.998
My_182,0.998
My_299,0.998
My_327B,0.998
My_236,0.998
My_236,0.998
Pila_R53,0.998
Sara-2_107,0.998
Rafa_18-14,0.998
Yaiza_19,0.998
My_39A1,0.998
My_42A1,0.998
Laug_21,0.998
My_DANI12S,0.998
My_291,0.997
Pila_AC19,0.997
My_238,0.997
My_420,0.997
My_271,0.997
My_342,0.997
My_DANI8,0.997
My_408,0.997
My_391,0.997
My_305,0.997
My_378,0.997
My_291,0.997
My_89,0.997
My_191,0.997
My_414,0.997
My_306,0.996
Andrea-2_4,0.996
Laug_66,0.996
Raul_19,0.996
My_292,0.996
My_37,0.996
My_386,0.996
My_DANI10,0.996
NMAR_14,0.996
My_132,0.995
My_162,0.995
My_148P1,0.995
My_120,0.995
My_269,0.995
My_376,0.995
Laug_73,0.995
My_69A3,0.995
My_112P2,0.995
My_109,0.995
My_3,0.995
My_392,0.995
My_222,0.995
My_274,0.995
My_274,0.995
My_161,0.994
My_233,0.994
My_421,0.994
My_12,0.994
My_361,0.994
My_113P1,0.994
My_365,0.994
My_400,0.994
My_195,0.993
My_307,0.993
My_304,0.993
My_335B,0.993
My_118,0.993
My_273,0.993
My_273,0.992
My_255,0.992
My_31,0.992
My_36,0.992
My_63C,0.992
My_387,0.991
My_37A1,0.991
NMAR_17,0.991
My_146,0.991
Pila_AD17,0.991
My_102,0.991
Dani_8,0.991
My_347,0.991
My_271,0.991
My_37A1,0.99
My_69A3,0.99
My_372,0.99
My_110,0.99
My_148P2,0.99
My_318,0.99
Yaiza_14,0.99
My_354,0.989
NMAR_7,0.989
My_33,0.989
Jose_V11-18,0.989
My_366,0.989
Albe_10,0.988
My_52,0.988
Ana_R9,0.988
Laug_84,0.988
My_364,0.988
My_204A3,0.988
My_135,0.987
CA-B19R,0.987
Dani_11,0.987
My_165,0.987
LA_39S,0.987
My_69A5,0.986
My_362,0.986
My_307,0.986
My_189,0.985
My_124,0.985
CA-A16S,0.985
My_328,0.985
My_377,0.985
My_42,0.985
Dani_12S,0.985
My_117,0.984
CA-F16R,0.984
My_298,0.983
My_298,0.983
My_192,0.983
Yaiza_17,0.983
Albe_13,0.983
My_197,0.982
My_DANI11,0.982
My_290,0.982
My_292,0.982
My_407,0.982
Laug_68,0.981
My_1B,0.98
My_88,0.98
My_30F,0.98
My_63,0.98
My_85,0.98
My_123,0.98
My_360,0.979
My_293,0.979
My_9G,0.978
CA-A16R,0.978
My_391,0.978
My_300,0.978
My_300,0.978
My_394,0.977
My_158,0.977
My_91,0.977
My_176,0.977
My_330,0.977
LA_39R,0.976
My_406,0.976
My_401,0.976
My_204A1,0.976
My_32,0.975
Sara-2_134,0.975
Pila_AF14,0.975
Jose_15,0.975
My_30,0.975
My_331,0.975
My_193P3,0.974
My_373,0.974
CA-B19S,0.973
CA-F16S,0.973
My_90,0.973
Laug_77,0.972
My_189,0.972
My_9,0.972
My_339,0.971
Laug_72,0.971
My_335,0.971
My_88,0.971
My_371,0.971
My_3E,0.97
My_209,0.97
My_119,0.97
Laug_94,0.97
Pila_ACJ,0.97
My_35,0.969
My_332,0.968
NMAR_19,0.968
My_181,0.968
My_375,0.968
My_388,0.967
My_411,0.966
Jose_13,0.966
My_348,0.966
My_193P2,0.966
My_24P1,0.965
My_105,0.965
My_141,0.965
My_169,0.965
Migu_10,0.965
Pila_P22,0.964
Albe_8,0.964
My_43P3,0.964
My_313,0.964
My_43,0.964
My_358,0.963
Rafa_18-28,0.963
LA_147Z,0.963
My_128,0.963
My_105,0.962
Yaiza_16,0.961
NMAR_10,0.961
My_324,0.961
My_20,0.961
My_193P1,0.961
My_317,0.961
NMAR_8,0.96
RA-26S,0.96
Laug_7,0.96
My_160,0.96
My_188,0.959
My_382,0.959
My_188,0.959
Laug_83,0.959
My_253,0.959
LA_70,0.959
LA_63,0.959
My_265,0.958
RA-26R,0.958
My_142,0.958
My_322,0.958
My_21P4,0.957
CA-E1S,0.957
Pila_AA12,0.956
My_293,0.956
RA_48R,0.956
Laug_20,0.955
CA-F1S,0.955
Laug_9,0.955
My_419,0.955
LA_148Z,0.955
Ana_R15,0.955
CA-F1R,0.955
CA-D1S,0.954
Yaiza_11,0.954
RA-27R,0.954
My_201,0.954
CA-E1R,0.954
Laug_88,0.953
My_159,0.953
Laug_1,0.953
CA-D1R,0.953
RA_52R,0.953
My_11,0.953
RA-27S,0.952
My_311,0.952
Laug_80,0.952
RA_68R,0.951
My_204A3,0.951
My_177,0.951
My_295,0.95
My_242,0.95
CA-C13Z,0.95
RA_52S,0.95
RA_48S,0.95
RA_61E,0.95
LA_30,0.95
Laug_67,0.949
Yaiza_15,0.949
My_259,0.949
RA_68S,0.948
LA_29,0.948
My_104,0.948
Rome_6,0.948
My_389,0.948
RA_63S,0.948
My_254,0.947
CA-B1R,0.947
My_113P4,0.947
CA-C13E,0.947
Laug_6,0.947
My_370,0.946
LA_52R,0.946
My_216,0.946
LA_48R,0.945
LA_52S,0.945
Youn_20,0.945
Laug_2,0.945
My_326B,0.945
My_286,0.945
LA_68E,0.945
LA_68Z,0.945
RA_63R,0.945
My_97,0.945
My_350,0.944
Sara-2_70,0.944
Laug_82,0.944
CA-F7E,0.944
Youn_53,0.944
Rafa_18-22,0.943
CA-E3R,0.943
CA-B1S,0.943
LA_48S,0.943
My_410,0.943
My_270-281B,0.943
My_311,0.943
Andrea-2_12,0.943
RA_50Z,0.942
My_418,0.942
My_359,0.942
CA-D7E,0.942
LA_27E,0.942
LA_27Z,0.942
My_390,0.942
Rafa_18-07,0.942
CA-B3R,0.942
My_168,0.941
CJ_24E,0.941
CA-B3S,0.941
My_245,0.941
CA-D12E,0.941
My_321,0.941
My_131,0.941
Sara_R48,0.941
My_310,0.94
Sara_R30,0.94
My_356,0.94
Andrea-2_13,0.94
My_254,0.94
Sara_F5-8,0.94
LA_61,0.94
My_412,0.939
LA_64,0.939
My_99,0.939
My_27,0.939
My_27,0.939
My_321,0.939
Sara-2_87,0.939
LA_95,0.939
LA_51E,0.938
CA-C3S,0.938
My_425,0.938
My_417,0.938
RA_50E,0.938
CA-E3S,0.937
LA_31E,0.937
LA_31Z,0.937
My_426,0.937
CA-C3R,0.937
Pila_N13,0.937
Rafa_18-21,0.937
NMAR_2,0.937
CA-B7E,0.937
Sara_L19-31,0.937
CA-D13E,0.937
My_244,0.935
My_178,0.935
Andrea_13,0.935
CA-A3R,0.935
Pila_R27,0.935
Sara_R29,0.934
CA-A3S,0.934
My_153,0.934
Sara_J36-45,0.934
CA-F13E,0.934
Pila_O44,0.934
My_390,0.934
Sara_R43,0.934
My_359,0.934
Andrea-2_13.1,0.933
Pila_L54,0.933
Sara-2_117,0.933
My_351,0.933
Andrea_14Z,0.933
CA-D13Z,0.933
Sara_R42,0.933
Sara_J-10-18,0.933
Andrea-2_14E,0.933
Sara_R35,0.932
CA-B8E,0.932
My_16,0.931
My_381,0.931
NMAR_6,0.931
My_260,0.931
Pila_R60,0.931
CJ_25E,0.93
Andrea_13_1,0.93
Andrea-2_14Z,0.93
LA_141,0.93
My_310,0.93
RA_78,0.93
LA_74Z,0.929
My_249,0.929
My_405,0.929
CA-E7Z,0.929
Elena_1,0.929
My_98,0.929
My_349,0.929
CA-C7Z,0.928
LA_41E,0.928
My_167,0.928
Sara-2_63,0.927
My_180,0.927
My_98,0.927
My_352,0.926
My_221,0.926
LA_133E,0.926
Andrea_14E,0.926
My_183,0.926
My_76,0.926
Azah_10,0.926
LA_86E,0.926
CJ_25Z,0.926
Andrea_9E,0.926
Jose_W13-16,0.926
Andrea-2_11,0.925
My_246,0.925
Sara-2_71,0.925
CA-A7E,0.925
CA-D12Z,0.925
CA-C7E,0.925
Andrea_11,0.924
CA-E7E,0.924
My_267,0.924
My_323,0.924
My_247,0.924
Andrea_12,0.924
LA_51Z,0.924
Pila_R62,0.924
Laug_8,0.924
My_267,0.924
LA_86Z,0.924
CA-E11Z,0.923
Laug_22,0.923
LA_97E,0.923
CA-D11E,0.923
CA-D11Z,0.923
My_129,0.923
Laug_59,0.923
My_340,0.923
LA_106Z,0.923
Sara-2_128,0.923
CA-E11E,0.922
My_29,0.922
CA-D7Z,0.922
Andrea-2_16,0.922
LA_74E,0.922
My_23,0.922
My_97,0.922
LA_106E,0.921
LA_80Z,0.921
My_297,0.921
Andrea-2_9Z,0.921
LA_115Z,0.921
CJ_4,0.921
CA-C4,0.921
My_121,0.92
CA-F7Z,0.92
CA-E8E,0.92
CJ_24Z,0.92
LA_60Z,0.92
Andrea_6,0.92
Youn_9,0.92
CA-D8Z,0.92
CA-D8E,0.92
CA-C12E,0.92
Sara-2_120,0.919
CA-B7Z,0.919
My_312,0.919
Andrea_9Z,0.919
LA_97Z,0.919
My_194,0.919
My_260,0.919
CA-C12Z,0.919
Andrea-2_6,0.919
CJ_20Z,0.919
CJ_20E,0.919
LA_60E,0.918
LA_57Z,0.918
Pila_R54,0.918
Sara-2_113,0.918
My_261,0.918
LA_57E,0.918
LA_80E,0.918
Dani_15,0.918
My_296,0.918
Rafa_18-19,0.918
My_173,0.918
CA-F13Z,0.918
LA_85,0.917
CA-E8Z,0.917
LA_133Z,0.917
My_155,0.917
LA_115E,0.917
Marc_16E-2,0.917
My_379,0.917
Andrea-2_9E,0.917
My_302,0.916
CA-A7Z,0.916
LA_47Z,0.916
Youn_42a,0.916
My_138,0.916
LA_44E,0.916
Laug_18,0.916
Sara-2_122,0.916
My_315,0.916
RA-35,0.916
RA_59,0.916
Youn_120,0.916
LA_117,0.916
LA_139E,0.915
LA_47E,0.915
LA_44Z,0.915
CA-D4,0.915
Pila_R61,0.915
LA_65,0.915
LA_41Z,0.915
LA_143E,0.915
RA-39,0.914
LA_111,0.914
My_79,0.914
LA_143Z,0.914
LA_139Z,0.914
RA_43,0.914
My_172,0.913
Youn_89,0.913
RA_60,0.913
My_1,0.913
CA-A12E,0.913
Jose_29,0.913
LA_149Z,0.913
RA_75,0.913
CA-A8E,0.913
My_232,0.913
Youn_52,0.913
LA_26,0.913
My_84,0.912
My_264,0.912
RA-38,0.912
My_174,0.912
My_289,0.912
My_256,0.912
CA-B8Z,0.912
My_24P3,0.912
My_288,0.912
My_243,0.912
My_263,0.911
My_25,0.911
LA_50,0.911
LA_136E,0.911
CA-A12Z,0.911
My_194,0.911
My_322,0.911
My_10,0.911
My_185,0.91
My_263,0.91
Migu_11,0.91
My_114,0.91
LA_56,0.91
RA-25,0.91
Youn_34,0.91
RA_51,0.91
RA_47,0.909
RA_77,0.909
My_402,0.909
My_288,0.909
CA-F4,0.909
Laug_19,0.909
My_99,0.909
Youn_85,0.909
My_186,0.908
CA-A8Z,0.908
CJ_3,0.908
Youn_95,0.908
CA-B4,0.908
My_185,0.908
Combretastatin_A4,0.908
CA-A4,0.908
My_367,0.908
Rafa_4B,0.908
RA_56,0.907
Pila_25,0.907
RA_62,0.907
My_276,0.906
RA_80Z,0.906
Rafa_71B,0.906
My_297,0.906
My_257,0.905
Youn_38,0.905
Laug_17,0.905
Youn_19,0.905
My_73,0.905
Pila_9,0.905
My_175,0.905
Rafa_50B,0.904
Rafa_RPO91A,0.903
LA_146Z,0.903
My_283,0.903
Laug_85,0.903
My_19,0.902
LA_136Z,0.902
Pila_36,0.902
Pila_11D,0.902
My_223,0.902
Laug_75,0.902
My_264,0.901
Pila_38,0.901
My_223,0.901
Pila_ACQ,0.901
RA_79Z,0.9
CJ_23,0.9
My_211,0.9
RA_54,0.9
CJ_15Z,0.9
CA-E4,0.899
RA_49,0.899
Youn_127,0.899
RA-20,0.899
RA_64,0.898
Youn_32,0.897
Youn_132d,0.897
Carbamolecombretastatin,0.897
RA-32,0.897
LA_126,0.896
Youn_72c,0.896
Youn_87b,0.896
CJ_19,0.896
LA_59,0.896
My_403,0.896
Youn_71c,0.896
LA_105,0.896
My_8,0.896
RA-24,0.896
My_96,0.895
LA_123,0.895
My_308,0.895
LA_43,0.895
LA_103,0.895
LA_77,0.894
CJ_13,0.894
LA_46,0.894
Youn_99,0.894
My_136,0.894
My_313,0.894
LA_109,0.894
Youn_24,0.894
CJ_15E,0.894
CJ_14,0.894
LA_112,0.894
LA_110,0.894
RA_65,0.894
LA_121,0.893
Youn_37,0.893
Pila_30,0.893
CJ_16,0.893
LA_100,0.893
LA_96,0.893
My_316,0.893
LA_73,0.893
My_111,0.893
My_111,0.893
LA_135,0.893
Roxi_15A1,0.893
Youn_10c,0.893
LA_42,0.893
LA_82,0.893
LA_102,0.893
LA_55,0.893
My_320,0.893
Youn_41,0.893
LA_119,0.892
LA_129,0.892
LA_89,0.892
LA_99,0.892
LA_58,0.892
Youn_4a,0.892
My_26,0.892
LA_25,0.892
CJ_7,0.892
LA_88,0.892
My_240,0.892
CA-C2,0.892
LA_131,0.892
LA_83,0.891
Pila_R132,0.891
Youn_47,0.891
Youn_51,0.891
LA_76,0.891
Dani_14,0.891
My_130,0.891
LA_71,0.89
Pila_ACO,0.89
Pila_39,0.889
LA_138,0.889
LA_130,0.888
My_338,0.887
My_308,0.887
Rafa_RPO95C,0.887
LA_142,0.887
My_309,0.885
RA-34,0.885
LA_132,0.885
My_404,0.884
My_14,0.883
My_287,0.882
My_304,0.882
My_170,0.882
My_147,0.881
My_368P2,0.879
My_303,0.878
My_329,0.877
Jose_12,0.875
My_145,0.875
Pila_R14,0.875
My_306,0.875
Laug_65,0.874
Pila_15,0.873
Pila_16,0.873
My_316,0.873
Jose_10,0.872
Laug_74,0.872
My_301,0.872
Pila_21,0.871
CA-F2,0.87
Pila_14,0.87
RA_58,0.87
Pila_N20,0.869
RA_66,0.869
Jose_T24-30,0.868
Rafa_18-36,0.867
My_393,0.865
CA-D2,0.865
Pila_ACL,0.865
LA_104,0.863
My_15,0.863
Pila_R22,0.863
My_DANI12,0.863
Pila_O72,0.862
Pila_ACK,0.862
Laug_78,0.862
CA-B2,0.862
LA_120,0.859
LA_125,0.859
Pila_ACF47,0.859
LA_75,0.859
LA_87,0.859
LA_94,0.859
Alex_15,0.858
LA_107,0.858
LA_72,0.858
LA_84,0.858
My_415,0.858
LA_93,0.858
LA_98,0.858
LA_144,0.858
RA_45,0.854
Ruth_2B,0.854
CA-E2,0.854
Rafa_3B,0.853
LA_134,0.853
LA_45,0.853
LA_128,0.852
LA_127,0.851
Rafa_18-25,0.851
LA_28,0.851
LA_53,0.851
Youn_4crist,0.851
LA_137,0.851
LA_36,0.85
LA_49,0.85
LA_38,0.85
LA_40,0.85
LA_54,0.85
LA_140,0.85
LA_32,0.85
LA_37,0.849
LA_34,0.848
RA_46,0.848
Rafa_65,0.847
My_357,0.847
Rafa_35,0.847
My_92A1,0.847
CA-A2,0.847
Youn_18,0.845
CJ_5,0.845
My_275,0.845
Youn_100,0.845
RA-22,0.845
CJ_8,0.845
CJ_22,0.845
CJ_11,0.845
CJ_18,0.844
Rafa_55,0.844
Rome_2,0.844
RA-19,0.843
CJ_2,0.843
My_275,0.843
RA-23,0.842
LA_62,0.842
RA-30,0.842
Dani_12,0.841
My_385,0.84
Marc_14Z,0.84
My_395,0.84
Laug_105,0.837
Laug_76,0.833
Raul_8,0.829
Laug_60,0.828
Jose_P6-7,0.827
My_280B,0.827
Raul_10,0.827
My_341,0.824
My_380,0.823
Raul_9,0.821
My_374,0.821
Laug_56,0.82
My_422,0.819
Jose_S14-17,0.818
Laug_92,0.817
Laug_99,0.816
Laug_95,0.813
My_363,0.81
Raul_7,0.808
Albe_14,0.806
Laug_93,0.805
My_319,0.804
My_282,0.803
Raul_11,0.803
Laug_55,0.801
My_179,0.801
My_326,0.799
Albe_1,0.789
My_93,0.767
My_281,0.759
Ana_R10,0.751
My_93,0.75
My_355,0.749
Alex_14B,0.749
My_115,0.727
My_115P1,0.726
Ana_R5,0.713
My_294,0.708
NMAR_13,0.704
My_21P3,0.667
My_87,0.661
NMAR_11,0.652
My_46,0.651
Pila_J29,0.589
Pila_35,0.579
Pila_30D,0.562
Pila_17D,0.542
My_122,0.529
Pila_R131,0.494
Pila_9D,0.487
Pila_10D,0.483
Migu_17,0.462
Migu_16,0.449
Jose_8,0.427
My_301,0.426
Jose_9,0.423
Jose_7,0.421
Jose_24,0.412
Jose_23,0.405
Yaiza_3,0.397
Jose_19,0.389
Laug_90,0.387
Yaiza_5,0.386
Jose_20,0.378
Jose_22,0.368
Jose_25,0.365
Yaiza_18,0.358
Dani_9,0.351
RA_67,0.332
Pila_Y29,0.3
Sara-2_60,0.299
Pila_Z14,0.29
Lau_61,0.286
Sara-2_61,0.283
Pila_X24,0.281
Pila_V8,0.28
Pila_V18,0.28
My_177,0.274
Pila_K20,0.27
Laug_107,0.267
Pila_18,0.266
Andrea-2_8,0.264
Andrea_8,0.263
My_28,0.262
Azah_4B,0.26
Sara-2_74,0.26
Pila_R3,0.259
Pila_R16,0.258
Sara-2_110,0.258
Laug_61,0.258
Sara_R32,0.258
Laug_103,0.257
Sara_C8_17,0.257
Sara-2_75,0.257
Ana_R13,0.257
Yaiza_6,0.256
Yaiza_8,0.255
Yaiza_7,0.255
Laug_101,0.255
Pila_R25,0.252
Marc_18,0.194
Roxi_15A2,0.192
Ana_R11,0.179
ePharma_1Z2B_CN2,
My_341,2.076
My_14,1.817
Pila_ACJ,1.756
Pila_ACK,1.732
Pila_ACL,1.702
Ana_R9,1.691
My_370,1.662
Ana_R5,1.662
Ana_R10,1.637
Pila_L54,1.607
My_332,1.58
My_121,1.565
My_122,1.563
Albe_13,1.532
Roxi_15A1,1.527
My_380,1.517
Ana_R15,1.456
My_415,1.407
Pila_P22,1.363
Albe_14,1.304
Ana_R13,1.185
My_52,1.157
Albe_8,1.094
My_412,1.046
Pila_P21,0.939
Laug_89,0.904
CA-D12Z,0.589
CA-D11E,0.513
CA-D11Z,0.513
Pila_30D,0.453
CA-D7Z,0.426
ePharma_3DU7_CN2,
RA_56,2.043
Pila_L54,2.034
Sara-2_128,2.01
RA_68S,1.99
Sara-2_107,1.987
RA_68R,1.986
Sara-2_87,1.942
Pila_ACK,1.901
Pila_35,1.876
CJ_15E,1.778
My_341,1.775
My_374,1.767
Pila_P22,1.763
My_332,1.751
Andrea_14E,1.74
My_370,1.737
Pila_25,1.736
Andrea_9E,1.735
Andrea-2_9E,1.735
Andrea-2_14E,1.735
Pila_9,1.708
Pila_38,1.699
Pila_R60,1.692
My_380,1.687
Pila_ACL,1.685
My_14,1.684
CA-D13Z,1.679
RA_62,1.666
RA_78,1.663
Rafa_71B,1.656
RA_51,1.65
Albe_14,1.649
Ana_R9,1.647
Sara_L19-31,1.645
Pila_30D,1.641
CA-D11E,1.634
CA-D11Z,1.634
Ana_R15,1.63
CA-C13E,1.624
LA_119,1.611
LA_83,1.598
CA-E11Z,1.596
CA-E11E,1.594
LA_71,1.589
LA_103,1.588
CA-C13Z,1.567
CA-F13Z,1.548
Albe_8,1.539
Pila_ACJ,1.536
CA-A12E,1.512
My_412,1.511
My_415,1.497
Laug_89,1.494
CA-B7Z,1.493
CA-C7Z,1.489
CA-A7E,1.488
CA-D7Z,1.487
Sara-2_122,1.485
CA-E7E,1.484
CA-D12Z,1.481
CA-A7Z,1.479
CA-E7Z,1.477
CA-F7Z,1.476
LA_106E,1.476
LA_51Z,1.475
LA_41Z,1.475
Andrea-2_14Z,1.473
LA_80E,1.472
CJ_24E,1.471
Andrea_9Z,1.47
Andrea-2_9Z,1.47
LA_44Z,1.466
LA_139Z,1.461
CA-C12Z,1.461
Laug_65,1.459
LA_60Z,1.458
CA-A12Z,1.457
Andrea_14Z,1.456
LA_143Z,1.455
Pila_17D,1.452
LA_60E,1.45
LA_31E,1.45
LA_31Z,1.45
LA_143E,1.449
LA_51E,1.448
LA_27E,1.446
LA_27Z,1.446
LA_74E,1.439
LA_86E,1.435
LA_136Z,1.432
LA_57Z,1.431
Youn_9,1.421
LA_97Z,1.419
LA_133E,1.408
CA-C7E,1.402
LA_139E,1.399
LA_47E,1.394
CJ_4,1.393
LA_57E,1.392
CA-D13E,1.391
LA_44E,1.387
LA_41E,1.386
CA-D12E,1.384
LA_97E,1.382
LA_115E,1.377
LA_133Z,1.375
CJ_20Z,1.373
CJ_20E,1.373
LA_47Z,1.369
Youn_52,1.366
LA_106Z,1.365
LA_74Z,1.363
CJ_15Z,1.362
LA_86Z,1.359
RA_64,1.358
Pila_R132,1.356
CA-F13E,1.35
LA_80Z,1.342
NMAR_4,1.341
CA-F7E,1.339
My_349,1.338
LA_68E,1.334
LA_68Z,1.334
CA-D7E,1.331
LA_115Z,1.329
CA-B7E,1.32
My_15,1.315
CA-C12E,1.272
Laug_88,1.27
LA_136E,1.259
Sara-2_134,1.163
Roxi_15A1,1.157
Pila_R131,1.142
Albe_13,1.141
My_84B,1.09
CJ_24Z,1.083
My_52,0.992
