symbol	overallAssociationScore	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	targetName
PSEN1	0.8718348048253193	0.9613984559408313	No data	0.6432229884302734	0.4559480982087158	0.9649714394289323	0.04988096311450684	0.5481496693239833	presenilin 1
APP	0.8661413491147394	0.9335276434799978	No data	0.9138939571353245	0.607930797611621	0.9862599920068108	No data	0.44040364545311866	amyloid beta precursor protein
PSEN2	0.7887390968527654	0.8831631839100227	No data	0.6432229884302734	No data	0.7987492632035833	No data	No data	presenilin 2
APOE	0.6807668564590496	0.7470954609259576	No data	No data	No data	0.997703563615797	0.017251532679053088	0.4752195044930042	apolipoprotein E
SORL1	0.6672997589784957	0.7632346043107299	No data	No data	No data	0.9681637883137699	0.04768036208430157	0.5702843283432227	sortilin related receptor 1
ACE	0.6660293626250134	0.853530849863293	No data	0.12158615952232422	No data	0.9474763744583945	No data	No data	angiotensin I converting enzyme
ACHE	0.6310899244647666	No data	No data	0.9965720087024417	No data	0.8304599285329346	No data	No data	acetylcholinesterase (Cartwright blood group)
BCHE	0.6198842958609657	No data	No data	0.9743378222804558	No data	0.9064954934703411	No data	No data	butyrylcholinesterase
GRIN1	0.6187116060397909	No data	No data	0.9854558665743252	No data	0.6455548933958147	No data	No data	glutamate ionotropic receptor NMDA type subunit 1
HFE	0.6170313609586816	0.8061162376330095	No data	No data	No data	0.32959973837924583	No data	No data	homeostatic iron regulator
GRIN2B	0.6091483948838295	No data	No data	0.9854558665743252	No data	0.3163647057200773	0.03279389384323798	No data	glutamate ionotropic receptor NMDA type subunit 2B
GRIN3B	0.6067988242855785	0.03754810302299284	No data	0.9854558665743252	No data	0.14827938762745446	No data	No data	glutamate ionotropic receptor NMDA type subunit 3B
CDK5	0.6067504429309006	No data	No data	No data	0.9513974960387728	0.8933160392633591	0.08977986793197987	No data	cyclin dependent kinase 5
GRIN2A	0.6049404064586537	No data	No data	0.9858242987533745	No data	0.17652153496522807	0.01937961546337943	No data	glutamate ionotropic receptor NMDA type subunit 2A
GRIN2D	0.6017684249240448	No data	No data	0.9854558665743252	No data	0.08814996565368506	No data	No data	glutamate ionotropic receptor NMDA type subunit 2D
GRIN3A	0.6017123206488822	No data	No data	0.9854558665743252	No data	0.08630422020426977	No data	No data	glutamate ionotropic receptor NMDA type subunit 3A
