Prot_A,Prot_B,score,Disease
GNB3,HTR7,0.932,Alzheimer's Disease
GNB3,GNAS,0.982,Alzheimer's Disease
GNB3,GNG3,0.998,Alzheimer's Disease
GNB3,GNG5,0.998,Alzheimer's Disease
GNB3,GNG11,0.998,Alzheimer's Disease
GNB3,GNG12,0.998,Alzheimer's Disease
GNB3,GNG10,0.998,Alzheimer's Disease
GNB3,GNGT1,0.999,Alzheimer's Disease
GNB3,GNG13,0.999,Alzheimer's Disease
GNB3,GNG4,0.999,Alzheimer's Disease
GNB3,GNGT2,0.999,Alzheimer's Disease
GNB3,GNG2,0.999,Alzheimer's Disease
GNB3,GNG7,0.999,Alzheimer's Disease
GNB4,HTR7,0.932,Alzheimer's Disease
GNB4,GNAS,0.992,Alzheimer's Disease
GNB4,GNG8,0.998,Alzheimer's Disease
GNB4,GNG3,0.998,Alzheimer's Disease
GNB4,GNG4,0.999,Alzheimer's Disease
GNB4,GNG13,0.999,Alzheimer's Disease
GNB4,GNGT1,0.999,Alzheimer's Disease
GNB4,GNG11,0.999,Alzheimer's Disease
GNB4,GNG5,0.999,Alzheimer's Disease
GNB4,GNG2,0.999,Alzheimer's Disease
GNB4,GNG10,0.999,Alzheimer's Disease
GNB4,GNG7,0.999,Alzheimer's Disease
GNB4,GNGT2,0.999,Alzheimer's Disease
GNB4,GNG12,0.999,Alzheimer's Disease
GNG13,HTR7,0.914,Alzheimer's Disease
GNG13,GNG7,0.946,Alzheimer's Disease
GNG13,GNAS,0.971,Alzheimer's Disease
GNG13,GNB1,0.999,Alzheimer's Disease
GNG11,HTR7,0.918,Alzheimer's Disease
GNG11,GNAS,0.95,Alzheimer's Disease
GNG11,GNB1,0.998,Alzheimer's Disease
GNGT1,HTR7,0.917,Alzheimer's Disease
GNGT1,GNAS,0.971,Alzheimer's Disease
GNGT1,GNB2,0.998,Alzheimer's Disease
GNGT1,GNB1,0.999,Alzheimer's Disease
GNB5,HTR7,0.926,Alzheimer's Disease
GNB5,GNAS,0.959,Alzheimer's Disease
GNB5,GNG5,0.998,Alzheimer's Disease
GNB5,GNG3,0.998,Alzheimer's Disease
GNB5,GNG7,0.999,Alzheimer's Disease
GNB5,GNG2,0.999,Alzheimer's Disease
GNB5,GNG4,0.999,Alzheimer's Disease
HTR6,IGHV3-16,0.8,Alzheimer's Disease
HTR6,GNG2,0.816,Alzheimer's Disease
HTR6,GNB1,0.818,Alzheimer's Disease
HTR6,HTR7,0.925,Alzheimer's Disease
HTR6,GNAS,0.992,Alzheimer's Disease
GNG3,HTR7,0.913,Alzheimer's Disease
GNG3,GNAS,0.967,Alzheimer's Disease
GNG3,GNB2,0.999,Alzheimer's Disease
GNG3,GNB1,0.999,Alzheimer's Disease
GNG8,HTR7,0.912,Alzheimer's Disease
GNG8,GNAS,0.951,Alzheimer's Disease
GNG8,GNB1,0.998,Alzheimer's Disease
GNG8,GNB2,0.998,Alzheimer's Disease
GNB2,HTR7,0.926,Alzheimer's Disease
GNB2,GNAS,0.986,Alzheimer's Disease
GNB2,GNG12,0.998,Alzheimer's Disease
GNB2,GNG10,0.998,Alzheimer's Disease
GNB2,GNG5,0.999,Alzheimer's Disease
GNB2,GNG4,0.999,Alzheimer's Disease
GNB2,GNGT2,0.999,Alzheimer's Disease
GNB2,GNG7,0.999,Alzheimer's Disease
GNB2,GNG2,0.999,Alzheimer's Disease
GNG2,IGHV3-16,0.8,Alzheimer's Disease
GNG2,HTR7,0.983,Alzheimer's Disease
GNG2,GNAS,0.997,Alzheimer's Disease
GNG2,GNB1,0.999,Alzheimer's Disease
HTR7,IGHV3-16,0.8,Alzheimer's Disease
HTR7,GNG7,0.912,Alzheimer's Disease
HTR7,GNG12,0.913,Alzheimer's Disease
HTR7,GNGT2,0.914,Alzheimer's Disease
HTR7,GNG5,0.918,Alzheimer's Disease
HTR7,GNG4,0.919,Alzheimer's Disease
HTR7,GNG10,0.92,Alzheimer's Disease
HTR7,GNB1,0.992,Alzheimer's Disease
HTR7,GNAS,0.995,Alzheimer's Disease
GNG5,GNAS,0.978,Alzheimer's Disease
GNG5,GNB1,0.999,Alzheimer's Disease
GNG12,GNAS,0.95,Alzheimer's Disease
GNG12,GNB1,0.999,Alzheimer's Disease
GNAS,IGHV3-16,0.9,Alzheimer's Disease
GNAS,GNGT2,0.949,Alzheimer's Disease
GNAS,GNG7,0.964,Alzheimer's Disease
GNAS,GNG10,0.965,Alzheimer's Disease
GNAS,GNG4,0.98,Alzheimer's Disease
