Prot_A,Prot_B,score,Disease
GNB3,GNAS,0.982,Alzheimer's Disease
GNB3,GNG3,0.998,Alzheimer's Disease
GNB3,GNG2,0.999,Alzheimer's Disease
GNB3,GNG7,0.999,Alzheimer's Disease
GNB4,GNAS,0.992,Alzheimer's Disease
GNB4,GNG3,0.998,Alzheimer's Disease
GNB4,GNG2,0.999,Alzheimer's Disease
GNB4,GNG7,0.999,Alzheimer's Disease
GNB5,GNAS,0.959,Alzheimer's Disease
GNB5,GNG3,0.998,Alzheimer's Disease
GNB5,GNG7,0.999,Alzheimer's Disease
GNB5,GNG2,0.999,Alzheimer's Disease
HTR6,IGHV3-16,0.8,Alzheimer's Disease
HTR6,GNG2,0.816,Alzheimer's Disease
HTR6,GNB1,0.818,Alzheimer's Disease
HTR6,GNAS,0.992,Alzheimer's Disease
GNG3,GNAS,0.967,Alzheimer's Disease
GNG3,GNB2,0.999,Alzheimer's Disease
GNG3,GNB1,0.999,Alzheimer's Disease
GNB2,GNAS,0.986,Alzheimer's Disease
GNB2,GNG7,0.999,Alzheimer's Disease
GNB2,GNG2,0.999,Alzheimer's Disease
GNG2,IGHV3-16,0.8,Alzheimer's Disease
GNG2,GNAS,0.997,Alzheimer's Disease
GNG2,GNB1,0.999,Alzheimer's Disease
GNAS,IGHV3-16,0.9,Alzheimer's Disease
GNAS,GNG7,0.964,Alzheimer's Disease
GNAS,GNB1,0.999,Alzheimer's Disease
GNB1,IGHV3-16,0.9,Alzheimer's Disease
GNB1,GNG7,0.999,Alzheimer's Disease
DRD4,DRD3,0.943,Alzheimer's Disease
GNB3,GNAI2,0.947,Alzheimer's Disease
GNB4,GNAI2,0.977,Alzheimer's Disease
GNB4,GNAI3,0.989,Alzheimer's Disease
GNB4,GNAI1,0.99,Alzheimer's Disease
GNAO1,GNG3,0.925,Alzheimer's Disease
GNAO1,GNG2,0.98,Alzheimer's Disease
GNAO1,GNB1,0.996,Alzheimer's Disease
GNG3,GNAI2,0.917,Alzheimer's Disease
GNG3,GNAI1,0.938,Alzheimer's Disease
GNB2,GNAI2,0.982,Alzheimer's Disease
GNB2,GNAI3,0.983,Alzheimer's Disease
GNAI2,GNG7,0.947,Alzheimer's Disease
GNAI2,GNG2,0.974,Alzheimer's Disease
GNAI2,GNAI1,0.975,Alzheimer's Disease
GNAI2,GNAI3,0.992,Alzheimer's Disease
GNAI2,GNB1,0.999,Alzheimer's Disease
