Prot_A,Prot_B,uniprotID_Prot_A,uniprotID_Prot_B,Disease
GNB3,GNB2,P16520,P62879,Alzheimer's disease
GNB3,CHEMBL3883319,P16520,P62873 P59768,Alzheimer's disease
GNB3,GNB1,P16520,P62873,Alzheimer's disease
GNB3,GNB4,P16520,Q9HAV0,Alzheimer's disease
GNB3,GNB5,P16520,O14775,Alzheimer's disease
GNB3,GNAL,P16520,P38405,Alzheimer's disease
GNB3,GNAS,P16520,P63092,Alzheimer's disease
GNB4,CHEMBL3883319,Q9HAV0,P62873 P59768,Alzheimer's disease
GNB4,GNB1,Q9HAV0,P62873,Alzheimer's disease
GNB4,GNB2,Q9HAV0,P62879,Alzheimer's disease
GNB4,GNB5,Q9HAV0,O14775,Alzheimer's disease
GNB4,GNAL,Q9HAV0,P38405,Alzheimer's disease
GNB4,GNAS,Q9HAV0,P63092,Alzheimer's disease
HTR3B,CHEMBL4296091,O95264,Q8WXA8 P46098,Alzheimer's disease
HTR3B,CHEMBL4296087,O95264,A5X5Y0 P46098,Alzheimer's disease
HTR3B,CHEMBL2111332,O95264,O95264 P46098,Alzheimer's disease
HTR3B,HTR3A,O95264,P46098,Alzheimer's disease
CHEMBL2111332,CHEMBL4296091,O95264 P46098,Q8WXA8 P46098,Alzheimer's disease
CHEMBL2111332,CHEMBL4296087,O95264 P46098,A5X5Y0 P46098,Alzheimer's disease
CHEMBL2111332,HTR3A,O95264 P46098,P46098,Alzheimer's disease
CYP2C9,CYP2C19,P11712,P33261,Alzheimer's disease
GNB5,GNB2,O14775,P62879,Alzheimer's disease
GNB5,CHEMBL3883319,O14775,P62873 P59768,Alzheimer's disease
GNB5,GNB1,O14775,P62873,Alzheimer's disease
GNB5,GNAS,O14775,P63092,Alzheimer's disease
GNB5,GNAL,O14775,P38405,Alzheimer's disease
HTR6,GNAL,P50406,P38405,Alzheimer's disease
HTR6,GNAS,P50406,P63092,Alzheimer's disease
GNB2,CHEMBL3883319,P62879,P62873 P59768,Alzheimer's disease
GNB2,GNB1,P62879,P62873,Alzheimer's disease
GNB2,GNAL,P62879,P38405,Alzheimer's disease
GNB2,GNAS,P62879,P63092,Alzheimer's disease
GNAL,GNAS,P38405,P63092,Alzheimer's disease
GNAL,CHEMBL3883319,P38405,P62873 P59768,Alzheimer's disease
GNAL,GNB1,P38405,P62873,Alzheimer's disease
GNAS,CHEMBL3883319,P63092,P62873 P59768,Alzheimer's disease
GNAS,GNB1,P63092,P62873,Alzheimer's disease
DRD4,GNG3,P21917,P63215,Alzheimer's disease
DRD4,GNB4,P21917,Q9HAV0,Alzheimer's disease
DRD4,CHEMBL3883319,P21917,P62873 P59768,Alzheimer's disease
DRD4,GNB1,P21917,P62873,Alzheimer's disease
DRD4,GNAI2,P21917,P04899,Alzheimer's disease
DRD4,GNAI3,P21917,P08754,Alzheimer's disease
DRD4,GNB5,P21917,O14775,Alzheimer's disease
DRD4,GNB2,P21917,P62879,Alzheimer's disease
DRD4,GNAI1,P21917,P63096,Alzheimer's disease
DRD4,GNB3,P21917,P16520,Alzheimer's disease
DRD4,DRD3,P21917,P35462,Alzheimer's disease
GNB3,DRD3,P16520,P35462,Alzheimer's disease
GNB3,GNAI1,P16520,P63096,Alzheimer's disease
GNB3,GNAI3,P16520,P08754,Alzheimer's disease
GNB3,GNAI2,P16520,P04899,Alzheimer's disease
GNB3,GNG3,P16520,P63215,Alzheimer's disease
GNB4,DRD3,Q9HAV0,P35462,Alzheimer's disease
GNB4,GNAI2,Q9HAV0,P04899,Alzheimer's disease
GNB4,GNAI3,Q9HAV0,P08754,Alzheimer's disease
GNB4,GNAI1,Q9HAV0,P63096,Alzheimer's disease
GNB4,GNG3,Q9HAV0,P63215,Alzheimer's disease
GNB5,DRD3,O14775,P35462,Alzheimer's disease
GNB5,GNAI3,O14775,P08754,Alzheimer's disease
GNB5,GNAI2,O14775,P04899,Alzheimer's disease
GNB5,GNAI1,O14775,P63096,Alzheimer's disease
GNB5,GNG3,O14775,P63215,Alzheimer's disease
GNG3,DRD3,P63215,P35462,Alzheimer's disease
GNG3,GNAI2,P63215,P04899,Alzheimer's disease
GNG3,GNAI3,P63215,P08754,Alzheimer's disease
GNG3,GNAI1,P63215,P63096,Alzheimer's disease
GNG3,CHEMBL3883319,P63215,P62873 P59768,Alzheimer's disease
GNG3,GNB1,P63215,P62873,Alzheimer's disease
GNG3,GNB2,P63215,P62879,Alzheimer's disease
GNB2,DRD3,P62879,P35462,Alzheimer's disease
GNB2,GNAI1,P62879,P63096,Alzheimer's disease
GNB2,GNAI2,P62879,P04899,Alzheimer's disease
GNB2,GNAI3,P62879,P08754,Alzheimer's disease
GNAI2,DRD3,P04899,P35462,Alzheimer's disease
GNAI2,GNAI1,P04899,P63096,Alzheimer's disease
GNAI2,GNAI3,P04899,P08754,Alzheimer's disease
GNAI2,CHEMBL3883319,P04899,P62873 P59768,Alzheimer's disease
GNAI2,GNB1,P04899,P62873,Alzheimer's disease
MAOA,COMT,P21397,P21964,Alzheimer's disease
GNAI1,DRD3,P63096,P35462,Alzheimer's disease
GNAI1,GNAI3,P63096,P08754,Alzheimer's disease
GNAI1,CHEMBL3883319,P63096,P62873 P59768,Alzheimer's disease
GNAI1,GNB1,P63096,P62873,Alzheimer's disease
GNAI3,DRD3,P08754,P35462,Alzheimer's disease
GNAI3,CHEMBL3883319,P08754,P62873 P59768,Alzheimer's disease
GNAI3,GNB1,P08754,P62873,Alzheimer's disease
DRD3,CHEMBL3883319,P35462,P62873 P59768,Alzheimer's disease
DRD3,GNB1,P35462,P62873,Alzheimer's disease
DRD4,ARRB2,P21917,P32121,Alzheimer's disease
DRD4,GNG2,P21917,P59768,Alzheimer's disease
DRD4,KLHL12,P21917,Q53G59,Alzheimer's disease
GNB3,GNG2,P16520,P59768,Alzheimer's disease
GNB5,GNG2,O14775,P59768,Alzheimer's disease
GNB2,GNG2,P62879,P59768,Alzheimer's disease
GNG2,DRD3,P59768,P35462,Alzheimer's disease
GNG2,GNAI1,P59768,P63096,Alzheimer's disease
MAOA,DBH,P21397,P09172,Alzheimer's disease
COMT,DBH,P21964,P09172,Alzheimer's disease
SLC6A3,CHEMBL4296096,Q01959,P14416 P41594,Alzheimer's disease
SLC6A3,CHEMBL3038478,Q01959,P14416,Alzheimer's disease
SLC6A3,DRD2,Q01959,P14416,Alzheimer's disease
SST,OXTR,P61278,P30559,Alzheimer's disease
SST,CHEMBL4296096,P61278,P14416 P41594,Alzheimer's disease
