gene_name,target_type,target_group,target_group_score_normalized,Disease
ACHE,SINGLE PROTEIN,T1 T2 T3 T4,1,Alzheimer's disease
APP,SINGLE PROTEIN,T1 T2 T3 T4,1,Alzheimer's disease
CBX1,SINGLE PROTEIN,T1 T2 T3 T4,1,Alzheimer's disease
DRD2,SINGLE PROTEIN,T1 T2 T3 T4,1,Alzheimer's disease
EHMT2,SINGLE PROTEIN,T1 T2 T3 T4,1,Alzheimer's disease
GMNN,SINGLE PROTEIN,T1 T2 T3 T4,1,Alzheimer's disease
LMNA,SINGLE PROTEIN,T1 T2 T3 T4,1,Alzheimer's disease
PPARG,SINGLE PROTEIN,T1 T2 T3 T4,1,Alzheimer's disease
SLC6A4,SINGLE PROTEIN,T1 T2 T3 T4,1,Alzheimer's disease
SLCO1B1,SINGLE PROTEIN,T1 T2 T3 T4,1,Alzheimer's disease
TDP1,SINGLE PROTEIN,T1 T2 T3 T4,1,Alzheimer's disease
USP1,SINGLE PROTEIN,T1 T2 T3 T4,1,Alzheimer's disease
BCHE,SINGLE PROTEIN,T1 T2 T4,0.8285714285714285,Alzheimer's disease
CHRNE,SINGLE PROTEIN,T1 T2 T4,0.8285714285714285,Alzheimer's disease
DYRK1A,SINGLE PROTEIN,T1 T2 T4,0.8285714285714285,Alzheimer's disease
DYRK2,SINGLE PROTEIN,T1 T2 T4,0.8285714285714285,Alzheimer's disease
IDH1,SINGLE PROTEIN,T1 T2 T4,0.8285714285714285,Alzheimer's disease
NPSR1,SINGLE PROTEIN,T1 T2 T4,0.8285714285714285,Alzheimer's disease
PMP22,SINGLE PROTEIN,T1 T2 T4,0.8285714285714285,Alzheimer's disease
PTH1R,SINGLE PROTEIN,T1 T2 T4,0.8285714285714285,Alzheimer's disease
TRPV1,SINGLE PROTEIN,T1 T2 T4,0.8285714285714285,Alzheimer's disease
CHEMBL1907604,PROTEIN COMPLEX,T1 T2 T4,0.8285714285714285,Alzheimer's disease
CHEMBL1907603,PROTEIN COMPLEX,T1 T2 T4,0.8285714285714285,Alzheimer's disease
CHEMBL3038505,PROTEIN COMPLEX,T1 T2 T4,0.8285714285714285,Alzheimer's disease
CHEMBL3038504,PROTEIN COMPLEX,T1 T2 T4,0.8285714285714285,Alzheimer's disease
FLNA,SINGLE PROTEIN,T2,0.35714285714285715,Alzheimer's disease
SERPINA5,SINGLE PROTEIN,T2,0.35714285714285715,Alzheimer's disease
SERPINB2,SINGLE PROTEIN,T2,0.35714285714285715,Alzheimer's disease
SMN1,SINGLE PROTEIN,T2 T3,0.5285714285714286,Alzheimer's disease
ABCC2,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
ABCC3,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
ABCC4,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
ADORA1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
ADORA2A,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
ADRA1A,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
ADRA1D,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
ADRA2A,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
ADRA2B,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
ADRA2C,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
ADRB1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
ADRB2,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
ADRB3,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
AGTR1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
AGTR2,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
ALDH1A1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
ALDH5A1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
ALOX15,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
ARSA,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
ATAD5,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
ATXN2,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
AVPR1A,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
BDKRB2,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
BLM,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
BRD4,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CA2,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CALCR,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CAPN2,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CASP1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CCKAR,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CCR2,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CCR4,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CCR5,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
