drugbank_id,name,type,groups,indication,description,category,known_action,actions,uniprot_id
DB00382,Tacrine,small molecule,approved|investigational|withdrawn,For the palliative treatment of mild to moderate dementia of the Alzheimer's type.,"A centerally active cholinesterase inhibitor that has been used to counter the effects of muscle relaxants, as a respiratory stimulant, and in the treatment of Alzheimer's disease and other central nervous system disorders. Tacrine has been discontinued for the United States market.",target,yes,inhibitor,P22303
DB00382,Tacrine,small molecule,approved|investigational|withdrawn,For the palliative treatment of mild to moderate dementia of the Alzheimer's type.,"A centerally active cholinesterase inhibitor that has been used to counter the effects of muscle relaxants, as a respiratory stimulant, and in the treatment of Alzheimer's disease and other central nervous system disorders. Tacrine has been discontinued for the United States market.",target,yes,inhibitor,P06276
DB00382,Tacrine,small molecule,approved|investigational|withdrawn,For the palliative treatment of mild to moderate dementia of the Alzheimer's type.,"A centerally active cholinesterase inhibitor that has been used to counter the effects of muscle relaxants, as a respiratory stimulant, and in the treatment of Alzheimer's disease and other central nervous system disorders. Tacrine has been discontinued for the United States market.",target,unknown,,P23141
DB00382,Tacrine,small molecule,approved|investigational|withdrawn,For the palliative treatment of mild to moderate dementia of the Alzheimer's type.,"A centerally active cholinesterase inhibitor that has been used to counter the effects of muscle relaxants, as a respiratory stimulant, and in the treatment of Alzheimer's disease and other central nervous system disorders. Tacrine has been discontinued for the United States market.",enzyme,unknown,substrate,P05177
DB00382,Tacrine,small molecule,approved|investigational|withdrawn,For the palliative treatment of mild to moderate dementia of the Alzheimer's type.,"A centerally active cholinesterase inhibitor that has been used to counter the effects of muscle relaxants, as a respiratory stimulant, and in the treatment of Alzheimer's disease and other central nervous system disorders. Tacrine has been discontinued for the United States market.",transporter,unknown,substrate,P08183
DB00674,Galantamine,small molecule,approved,Galantamine is indicated for the treatment of mild to moderate dementia of the Alzheimer’s type.[L13571],"Galantamine is a tertiary alkaloid and reversible, competitive inhibitor of the acetylcholinesterase (AChE) enzyme, which is a widely studied therapeutic target used in the treatment of Alzheimer's disease.[A1018] First characterized in the early 1950s, galantamine is a tertiary alkaloid that was extracted from botanical sources, such as _Galanthus nivalis_.[A201968] Galantamine was first studied in paralytic and neuropathic conditions, such as myopathies and postpolio paralytic conditions, and for reversal of neuromuscular blockade.[A182993,A201968] Following the discovery of its AChE-inhibiting properties, the cognitive effects of galantamine were studied in a wide variety of psychiatric disorders such as mild cognitive impairment, cognitive impairment in schizophrenia and bipolar disorder, and autism; however, re-development of the drug for Alzheimer’s disease did not commence until the early 1990s due to difficulties in extraction and synthesis.[A201968] Galantamine blocks the breakdown of acetylcholine in the synaptic cleft, thereby increasing acetylcholine neurotransmission. It also acts as an allosteric modulator of the nicotinic receptor, giving its dual mechanism of action clinical significance.[A182993]

The drug was approved by the FDA in 2001 for the treatment of mild to moderate dementia of the Alzheimer's type. As Alzheimer's disease is a progressive neurodegenerative disorder, galantamine is not known to alter the course of the underlying dementing process. Galantamine works to block the enzyme responsible for the breakdown of acetylcholine in the synaptic cleft, thereby enhancing cholinergic neuron function and signalling. Under this hypothesized mechanism of action, the therapeutic effects of galantamine may decrease as the disease progression advances and fewer cholinergic neurons remain functionally intact.[L13571] It is therefore not considered to be a disease-modifying drug.[A203558] Galantamine is marketed under the brand name Razadyne, and is available as oral immediate- and extended-release tablets and solution.[L13571]",target,yes,inhibitor,P22303
DB00674,Galantamine,small molecule,approved,Galantamine is indicated for the treatment of mild to moderate dementia of the Alzheimer’s type.[L13571],"Galantamine is a tertiary alkaloid and reversible, competitive inhibitor of the acetylcholinesterase (AChE) enzyme, which is a widely studied therapeutic target used in the treatment of Alzheimer's disease.[A1018] First characterized in the early 1950s, galantamine is a tertiary alkaloid that was extracted from botanical sources, such as _Galanthus nivalis_.[A201968] Galantamine was first studied in paralytic and neuropathic conditions, such as myopathies and postpolio paralytic conditions, and for reversal of neuromuscular blockade.[A182993,A201968] Following the discovery of its AChE-inhibiting properties, the cognitive effects of galantamine were studied in a wide variety of psychiatric disorders such as mild cognitive impairment, cognitive impairment in schizophrenia and bipolar disorder, and autism; however, re-development of the drug for Alzheimer’s disease did not commence until the early 1990s due to difficulties in extraction and synthesis.[A201968] Galantamine blocks the breakdown of acetylcholine in the synaptic cleft, thereby increasing acetylcholine neurotransmission. It also acts as an allosteric modulator of the nicotinic receptor, giving its dual mechanism of action clinical significance.[A182993]

The drug was approved by the FDA in 2001 for the treatment of mild to moderate dementia of the Alzheimer's type. As Alzheimer's disease is a progressive neurodegenerative disorder, galantamine is not known to alter the course of the underlying dementing process. Galantamine works to block the enzyme responsible for the breakdown of acetylcholine in the synaptic cleft, thereby enhancing cholinergic neuron function and signalling. Under this hypothesized mechanism of action, the therapeutic effects of galantamine may decrease as the disease progression advances and fewer cholinergic neurons remain functionally intact.[L13571] It is therefore not considered to be a disease-modifying drug.[A203558] Galantamine is marketed under the brand name Razadyne, and is available as oral immediate- and extended-release tablets and solution.[L13571]",target,yes,allosteric modulator,P36544
DB00674,Galantamine,small molecule,approved,Galantamine is indicated for the treatment of mild to moderate dementia of the Alzheimer’s type.[L13571],"Galantamine is a tertiary alkaloid and reversible, competitive inhibitor of the acetylcholinesterase (AChE) enzyme, which is a widely studied therapeutic target used in the treatment of Alzheimer's disease.[A1018] First characterized in the early 1950s, galantamine is a tertiary alkaloid that was extracted from botanical sources, such as _Galanthus nivalis_.[A201968] Galantamine was first studied in paralytic and neuropathic conditions, such as myopathies and postpolio paralytic conditions, and for reversal of neuromuscular blockade.[A182993,A201968] Following the discovery of its AChE-inhibiting properties, the cognitive effects of galantamine were studied in a wide variety of psychiatric disorders such as mild cognitive impairment, cognitive impairment in schizophrenia and bipolar disorder, and autism; however, re-development of the drug for Alzheimer’s disease did not commence until the early 1990s due to difficulties in extraction and synthesis.[A201968] Galantamine blocks the breakdown of acetylcholine in the synaptic cleft, thereby increasing acetylcholine neurotransmission. It also acts as an allosteric modulator of the nicotinic receptor, giving its dual mechanism of action clinical significance.[A182993]

The drug was approved by the FDA in 2001 for the treatment of mild to moderate dementia of the Alzheimer's type. As Alzheimer's disease is a progressive neurodegenerative disorder, galantamine is not known to alter the course of the underlying dementing process. Galantamine works to block the enzyme responsible for the breakdown of acetylcholine in the synaptic cleft, thereby enhancing cholinergic neuron function and signalling. Under this hypothesized mechanism of action, the therapeutic effects of galantamine may decrease as the disease progression advances and fewer cholinergic neurons remain functionally intact.[L13571] It is therefore not considered to be a disease-modifying drug.[A203558] Galantamine is marketed under the brand name Razadyne, and is available as oral immediate- and extended-release tablets and solution.[L13571]",target,unknown,allosteric modulator,A9X444
DB00674,Galantamine,small molecule,approved,Galantamine is indicated for the treatment of mild to moderate dementia of the Alzheimer’s type.[L13571],"Galantamine is a tertiary alkaloid and reversible, competitive inhibitor of the acetylcholinesterase (AChE) enzyme, which is a widely studied therapeutic target used in the treatment of Alzheimer's disease.[A1018] First characterized in the early 1950s, galantamine is a tertiary alkaloid that was extracted from botanical sources, such as _Galanthus nivalis_.[A201968] Galantamine was first studied in paralytic and neuropathic conditions, such as myopathies and postpolio paralytic conditions, and for reversal of neuromuscular blockade.[A182993,A201968] Following the discovery of its AChE-inhibiting properties, the cognitive effects of galantamine were studied in a wide variety of psychiatric disorders such as mild cognitive impairment, cognitive impairment in schizophrenia and bipolar disorder, and autism; however, re-development of the drug for Alzheimer’s disease did not commence until the early 1990s due to difficulties in extraction and synthesis.[A201968] Galantamine blocks the breakdown of acetylcholine in the synaptic cleft, thereby increasing acetylcholine neurotransmission. It also acts as an allosteric modulator of the nicotinic receptor, giving its dual mechanism of action clinical significance.[A182993]

The drug was approved by the FDA in 2001 for the treatment of mild to moderate dementia of the Alzheimer's type. As Alzheimer's disease is a progressive neurodegenerative disorder, galantamine is not known to alter the course of the underlying dementing process. Galantamine works to block the enzyme responsible for the breakdown of acetylcholine in the synaptic cleft, thereby enhancing cholinergic neuron function and signalling. Under this hypothesized mechanism of action, the therapeutic effects of galantamine may decrease as the disease progression advances and fewer cholinergic neurons remain functionally intact.[L13571] It is therefore not considered to be a disease-modifying drug.[A203558] Galantamine is marketed under the brand name Razadyne, and is available as oral immediate- and extended-release tablets and solution.[L13571]",target,unknown,inhibitor,P06276
DB00674,Galantamine,small molecule,approved,Galantamine is indicated for the treatment of mild to moderate dementia of the Alzheimer’s type.[L13571],"Galantamine is a tertiary alkaloid and reversible, competitive inhibitor of the acetylcholinesterase (AChE) enzyme, which is a widely studied therapeutic target used in the treatment of Alzheimer's disease.[A1018] First characterized in the early 1950s, galantamine is a tertiary alkaloid that was extracted from botanical sources, such as _Galanthus nivalis_.[A201968] Galantamine was first studied in paralytic and neuropathic conditions, such as myopathies and postpolio paralytic conditions, and for reversal of neuromuscular blockade.[A182993,A201968] Following the discovery of its AChE-inhibiting properties, the cognitive effects of galantamine were studied in a wide variety of psychiatric disorders such as mild cognitive impairment, cognitive impairment in schizophrenia and bipolar disorder, and autism; however, re-development of the drug for Alzheimer’s disease did not commence until the early 1990s due to difficulties in extraction and synthesis.[A201968] Galantamine blocks the breakdown of acetylcholine in the synaptic cleft, thereby increasing acetylcholine neurotransmission. It also acts as an allosteric modulator of the nicotinic receptor, giving its dual mechanism of action clinical significance.[A182993]

The drug was approved by the FDA in 2001 for the treatment of mild to moderate dementia of the Alzheimer's type. As Alzheimer's disease is a progressive neurodegenerative disorder, galantamine is not known to alter the course of the underlying dementing process. Galantamine works to block the enzyme responsible for the breakdown of acetylcholine in the synaptic cleft, thereby enhancing cholinergic neuron function and signalling. Under this hypothesized mechanism of action, the therapeutic effects of galantamine may decrease as the disease progression advances and fewer cholinergic neurons remain functionally intact.[L13571] It is therefore not considered to be a disease-modifying drug.[A203558] Galantamine is marketed under the brand name Razadyne, and is available as oral immediate- and extended-release tablets and solution.[L13571]",enzyme,no,substrate,P08684
